Name: Punggol Field, Instruction: Head east on Punggol Field, Distance: 237.4 meters, Time: 170.9 seconds
Name: -, Instruction: Keep right, Distance: 36.4 meters, Time: 26.2 seconds
Name: Sumang Walk, Instruction: Turn slight right onto Sumang Walk, Distance: 111.2 meters, Time: 80.1 seconds
Name: Sumang Walk, Instruction: Continue straight onto Sumang Walk, Distance: 14.8 meters, Time: 10.6 seconds
Name: -, Instruction: Turn left, Distance: 26.2 meters, Time: 18.9 seconds
Name: -, Instruction: Turn right, Distance: 108.7 meters, Time: 78.2 seconds
Name: -, Instruction: Turn left, Distance: 5.4 meters, Time: 3.9 seconds
Name: -, Instruction: Turn right, Distance: 27.4 meters, Time: 19.8 seconds
Name: -, Instruction: Turn right, Distance: 53.8 meters, Time: 38.7 seconds
Name: -, Instruction: Turn right, Distance: 156.1 meters, Time: 112.4 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
