Name: Fontana Drive, Instruction: Head north on Fontana Drive, Distance: 15.5 meters, Time: 11.2 seconds
Name: -, Instruction: Turn left, Distance: 10.5 meters, Time: 7.6 seconds
Name: -, Instruction: Turn sharp right, Distance: 207.6 meters, Time: 149.5 seconds
Name: -, Instruction: Turn slight right, Distance: 81.9 meters, Time: 59.0 seconds
Name: -, Instruction: Keep right, Distance: 18.5 meters, Time: 13.3 seconds
Name: -, Instruction: Turn slight left, Distance: 59.8 meters, Time: 43.1 seconds
Name: -, Instruction: Keep right, Distance: 117.8 meters, Time: 84.8 seconds
Name: -, Instruction: Keep right, Distance: 81.6 meters, Time: 58.7 seconds
Name: -, Instruction: Turn slight right, Distance: 126.2 meters, Time: 90.9 seconds
Name: -, Instruction: Turn right, Distance: 73.1 meters, Time: 52.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
