Name: Humbert Street, Instruction: Head west on Humbert Street, Distance: 95.7 meters, Time: 68.9 seconds
Name: -, Instruction: Turn sharp right, Distance: 48.2 meters, Time: 34.7 seconds
Name: -, Instruction: Turn slight left, Distance: 84.9 meters, Time: 61.1 seconds
Name: Argyle Street, Instruction: Turn left onto Argyle Street, Distance: 390.0 meters, Time: 280.8 seconds
Name: Antonio Lopes Lane, Instruction: Turn right onto Antonio Lopes Lane, Distance: 3.7 meters, Time: 2.7 seconds
Name: -, Instruction: Turn left, Distance: 44.1 meters, Time: 31.7 seconds
Name: -, Instruction: Turn right, Distance: 61.8 meters, Time: 44.5 seconds
Name: -, Instruction: Turn left, Distance: 120.2 meters, Time: 86.5 seconds
Name: -, Instruction: Turn right, Distance: 44.3 meters, Time: 31.9 seconds
Name: -, Instruction: Turn left, Distance: 16.8 meters, Time: 12.1 seconds
Name: -, Instruction: Turn slight left, Distance: 1.4 meters, Time: 1.0 seconds
Name: -, Instruction: Turn right, Distance: 407.7 meters, Time: 293.5 seconds
Name: Middleton Street, Instruction: Turn left onto Middleton Street, Distance: 5.7 meters, Time: 4.1 seconds
Name: Brock Avenue, Instruction: Turn left onto Brock Avenue, Distance: 14.7 meters, Time: 10.6 seconds
Name: -, Instruction: Turn right, Distance: 4.9 meters, Time: 3.5 seconds
Name: -, Instruction: Turn left, Distance: 189.3 meters, Time: 136.3 seconds
Name: -, Instruction: Turn right, Distance: 5.4 meters, Time: 3.9 seconds
Name: -, Instruction: Keep left, Distance: 73.4 meters, Time: 52.8 seconds
Name: -, Instruction: Turn right, Distance: 3.4 meters, Time: 2.5 seconds
Name: Cunningham Avenue, Instruction: Turn left onto Cunningham Avenue, Distance: 58.8 meters, Time: 42.3 seconds
Name: -, Instruction: Turn right, Distance: 4.6 meters, Time: 3.3 seconds
Name: -, Instruction: Turn right, Distance: 43.6 meters, Time: 31.4 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
