Name: شارع عبد الحميد الكاتب, Instruction: Head northwest on شارع عبد الحميد الكاتب, Distance: 97.8 meters, Time: 70.4 seconds
Name: شارع الشهيد كريم وجيه سيف, Instruction: Turn right onto شارع الشهيد كريم وجيه سيف, Distance: 72.1 meters, Time: 51.9 seconds
Name: -, Instruction: Turn left, Distance: 12.8 meters, Time: 9.2 seconds
Name: شارع الشهيد كريم وجيه سيف, Instruction: Turn right onto شارع الشهيد كريم وجيه سيف, Distance: 67.0 meters, Time: 48.2 seconds
Name: -, Instruction: Turn left, Distance: 75.3 meters, Time: 54.2 seconds
Name: شارع ابو سهل الكوهى, Instruction: Turn right onto شارع ابو سهل الكوهى, Distance: 108.5 meters, Time: 78.1 seconds
Name: شارع الشهيد محمد عاشور, Instruction: Turn left onto شارع الشهيد محمد عاشور, Distance: 8.3 meters, Time: 6.0 seconds
Name: شارع ابو سهل الكوهى, Instruction: Turn right onto شارع ابو سهل الكوهى, Distance: 91.7 meters, Time: 66.1 seconds
Name: محور 82, Instruction: Turn left onto محور 82, Distance: 54.6 meters, Time: 39.3 seconds
Name: -, Instruction: Turn right, Distance: 16.1 meters, Time: 11.6 seconds
Name: محور 82, Instruction: Turn left onto محور 82, Distance: 61.2 meters, Time: 44.1 seconds
Name: -, Instruction: Keep right, Distance: 89.2 meters, Time: 64.3 seconds
Name: شارع ابو حامد محمد, Instruction: Turn sharp left onto شارع ابو حامد محمد, Distance: 21.2 meters, Time: 15.3 seconds
Name: -, Instruction: Turn right, Distance: 8.4 meters, Time: 6.0 seconds
Name: -, Instruction: Continue straight, Distance: 79.3 meters, Time: 57.1 seconds
Name: شارع ابن السمح, Instruction: Turn right onto شارع ابن السمح, Distance: 8.1 meters, Time: 5.8 seconds
Name: شارع الشهيد ابراهيم جمعه, Instruction: Turn left onto شارع الشهيد ابراهيم جمعه, Distance: 76.6 meters, Time: 55.2 seconds
Name: شارع الشهيد عادل عبد السلام, Instruction: Turn left onto شارع الشهيد عادل عبد السلام, Distance: 150.8 meters, Time: 108.6 seconds
Name: شارع الشهيد عادل عبد السلام, Instruction: Keep right onto شارع الشهيد عادل عبد السلام, Distance: 66.4 meters, Time: 47.8 seconds
Name: شارع ابراهيم سليمان, Instruction: Turn slight right onto شارع ابراهيم سليمان, Distance: 16.6 meters, Time: 12.0 seconds
Name: شارع ابو حامد محمد, Instruction: Turn left onto شارع ابو حامد محمد, Distance: 8.8 meters, Time: 6.3 seconds
Name: شارع ابراهيم سليمان, Instruction: Turn right onto شارع ابراهيم سليمان, Distance: 93.0 meters, Time: 67.0 seconds
Name: شارع الخليفه المنتصر, Instruction: Turn left onto شارع الخليفه المنتصر, Distance: 1.9 meters, Time: 1.4 seconds
Name: -, Instruction: Turn right, Distance: 11.2 meters, Time: 8.1 seconds
Name: شارع الخليفه المنتصر, Instruction: Turn right onto شارع الخليفه المنتصر, Distance: 5.6 meters, Time: 4.1 seconds
Name: -, Instruction: Keep left, Distance: 108.7 meters, Time: 78.3 seconds
Name: شارع مصطفى صادق الرفاعى, Instruction: Turn slight left onto شارع مصطفى صادق الرفاعى, Distance: 68.2 meters, Time: 49.1 seconds
Name: -, Instruction: Turn left, Distance: 38.5 meters, Time: 27.7 seconds
Name: -, Instruction: Turn right, Distance: 22.9 meters, Time: 16.5 seconds
Name: -, Instruction: Turn left, Distance: 10.3 meters, Time: 7.4 seconds
Name: -, Instruction: Turn left, Distance: 33.6 meters, Time: 24.2 seconds
Name: شارع البتانى, Instruction: Turn right onto شارع البتانى, Distance: 267.9 meters, Time: 192.9 seconds
Name: -, Instruction: Turn left, Distance: 28.1 meters, Time: 20.3 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
