Name: Silex Street, Instruction: Head south on Silex Street, Distance: 123.2 meters, Time: 88.7 seconds
Name: King James Street, Instruction: Turn right onto King James Street, Distance: 71.0 meters, Time: 51.1 seconds
Name: Lancaster Street, Instruction: Turn right onto Lancaster Street, Distance: 1.0 meters, Time: 0.7 seconds
Name: King James Street, Instruction: Turn left onto King James Street, Distance: 70.8 meters, Time: 51.0 seconds
Name: Milcote Street, Instruction: Turn right onto Milcote Street, Distance: 0.9 meters, Time: 0.7 seconds
Name: -, Instruction: Turn left, Distance: 8.6 meters, Time: 6.2 seconds
Name: -, Instruction: Keep left, Distance: 39.1 meters, Time: 28.1 seconds
Name: Library Street, Instruction: Turn left onto Library Street, Distance: 24.4 meters, Time: 17.6 seconds
Name: -, Instruction: Turn right, Distance: 43.0 meters, Time: 31.0 seconds
Name: -, Instruction: Turn left, Distance: 163.3 meters, Time: 117.5 seconds
Name: -, Instruction: Turn right, Distance: 17.2 meters, Time: 12.4 seconds
Name: -, Instruction: Turn right, Distance: 1.9 meters, Time: 1.4 seconds
Name: -, Instruction: Turn left, Distance: 169.7 meters, Time: 122.2 seconds
Name: -, Instruction: Turn left, Distance: 3.7 meters, Time: 2.7 seconds
Name: -, Instruction: Turn right, Distance: 18.6 meters, Time: 13.4 seconds
Name: -, Instruction: Turn right, Distance: 27.5 meters, Time: 19.8 seconds
Name: West Square, Instruction: Turn left onto West Square, Distance: 74.6 meters, Time: 53.7 seconds
Name: -, Instruction: Continue straight, Distance: 28.8 meters, Time: 20.8 seconds
Name: -, Instruction: Turn left, Distance: 11.0 meters, Time: 8.0 seconds
Name: -, Instruction: Turn slight right, Distance: 10.6 meters, Time: 7.7 seconds
Name: -, Instruction: Turn left, Distance: 29.1 meters, Time: 21.0 seconds
Name: Austral Street, Instruction: Continue straight onto Austral Street, Distance: 117.8 meters, Time: 84.8 seconds
Name: Brook Drive, Instruction: Turn left onto Brook Drive, Distance: 54.9 meters, Time: 39.5 seconds
Name: -, Instruction: Turn right, Distance: 4.8 meters, Time: 3.4 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
