Name: Grasmeierstraße, Instruction: Head northwest on Grasmeierstraße, Distance: 402.6 meters, Time: 289.9 seconds
Name: Ungererstraße, Instruction: Turn right onto Ungererstraße, Distance: 330.0 meters, Time: 237.6 seconds
Name: -, Instruction: Keep left, Distance: 15.5 meters, Time: 11.2 seconds
Name: Frankfurter Ring, Instruction: Turn slight left onto Frankfurter Ring, Distance: 86.6 meters, Time: 62.4 seconds
Name: Frankfurter Ring, Instruction: Continue straight onto Frankfurter Ring, Distance: 491.2 meters, Time: 353.7 seconds
Name: -, Instruction: Turn right, Distance: 29.2 meters, Time: 21.0 seconds
Name: Frankfurter Ring, Instruction: Turn left onto Frankfurter Ring, Distance: 13.9 meters, Time: 10.0 seconds
Name: Lilienthalallee, Instruction: Turn right onto Lilienthalallee, Distance: 87.2 meters, Time: 62.8 seconds
Name: Lilienthalallee, Instruction: Turn left onto Lilienthalallee, Distance: 5.4 meters, Time: 3.9 seconds
Name: -, Instruction: Turn right, Distance: 350.0 meters, Time: 252.0 seconds
Name: -, Instruction: Turn left, Distance: 20.6 meters, Time: 14.8 seconds
Name: -, Instruction: Turn left, Distance: 41.6 meters, Time: 29.9 seconds
Name: -, Instruction: Turn left, Distance: 8.0 meters, Time: 5.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
