Name: Orchard Road, Instruction: Head north on Orchard Road, Distance: 91.1 meters, Time: 65.6 seconds
Name: Seldon Lane, Instruction: Turn sharp left onto Seldon Lane, Distance: 7.8 meters, Time: 5.6 seconds
Name: -, Instruction: Turn sharp right, Distance: 61.6 meters, Time: 44.4 seconds
Name: -, Instruction: Continue straight, Distance: 8.3 meters, Time: 5.9 seconds
Name: Chapman Avenue, Instruction: Turn sharp left onto Chapman Avenue, Distance: 64.6 meters, Time: 46.5 seconds
Name: -, Instruction: Keep right, Distance: 29.6 meters, Time: 21.3 seconds
Name: -, Instruction: Turn slight right, Distance: 34.4 meters, Time: 24.8 seconds
Name: -, Instruction: Keep left, Distance: 48.6 meters, Time: 35.0 seconds
Name: -, Instruction: Turn left, Distance: 36.2 meters, Time: 26.1 seconds
Name: Frank Channon Walk, Instruction: Turn right onto Frank Channon Walk, Distance: 63.0 meters, Time: 45.4 seconds
Name: Ellis Street, Instruction: Turn sharp left onto Ellis Street, Distance: 91.1 meters, Time: 65.6 seconds
Name: Crispe Lane, Instruction: Turn right onto Crispe Lane, Distance: 74.1 meters, Time: 53.4 seconds
Name: -, Instruction: Turn left, Distance: 42.6 meters, Time: 30.7 seconds
Name: -, Instruction: Keep left, Distance: 23.1 meters, Time: 16.7 seconds
Name: -, Instruction: Turn right, Distance: 41.6 meters, Time: 30.0 seconds
Name: -, Instruction: Turn left, Distance: 4.6 meters, Time: 3.3 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
