Name: Main Street, Instruction: Head south on Main Street, Distance: 5.3 meters, Time: 3.8 seconds
Name: -, Instruction: Turn right, Distance: 19.9 meters, Time: 14.3 seconds
Name: -, Instruction: Turn right, Distance: 16.9 meters, Time: 12.2 seconds
Name: -, Instruction: Turn left, Distance: 141.2 meters, Time: 101.6 seconds
Name: -, Instruction: Turn slight left, Distance: 10.2 meters, Time: 7.4 seconds
Name: -, Instruction: Turn right, Distance: 188.3 meters, Time: 135.5 seconds
Name: -, Instruction: Turn left, Distance: 224.1 meters, Time: 161.3 seconds
Name: -, Instruction: Turn left, Distance: 4.8 meters, Time: 3.5 seconds
Name: -, Instruction: Turn right, Distance: 461.2 meters, Time: 332.0 seconds
Name: Kauri Road, Instruction: Turn right onto Kauri Road, Distance: 311.8 meters, Time: 224.5 seconds
Name: Brightside Road, Instruction: Turn left onto Brightside Road, Distance: 2.6 meters, Time: 1.9 seconds
Name: Kauri Road, Instruction: Turn right onto Kauri Road, Distance: 361.2 meters, Time: 260.1 seconds
Name: -, Instruction: Turn right, Distance: 291.8 meters, Time: 210.1 seconds
Name: -, Instruction: Turn right, Distance: 40.0 meters, Time: 28.8 seconds
Name: -, Instruction: Turn right, Distance: 65.5 meters, Time: 47.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
