Name: Finsbury Pavement, A501, Instruction: Head north on Finsbury Pavement, A501, Distance: 32.5 meters, Time: 23.4 seconds
Name: Lackington Street, Instruction: Turn right onto Lackington Street, Distance: 129.8 meters, Time: 93.4 seconds
Name: Wilson Street, Instruction: Turn left onto Wilson Street, Distance: 35.5 meters, Time: 25.6 seconds
Name: Whitecross Place, Instruction: Turn right onto Whitecross Place, Distance: 72.8 meters, Time: 52.4 seconds
Name: -, Instruction: Keep left, Distance: 41.0 meters, Time: 29.5 seconds
Name: Broadgate, Instruction: Turn left onto Broadgate, Distance: 24.3 meters, Time: 17.5 seconds
Name: Broadgate, Instruction: Turn right onto Broadgate, Distance: 20.4 meters, Time: 14.7 seconds
Name: Sun Street, B100, Instruction: Turn right onto Sun Street, B100, Distance: 94.6 meters, Time: 68.1 seconds
Name: -, Instruction: Turn right, Distance: 59.8 meters, Time: 43.1 seconds
Name: -, Instruction: Turn right, Distance: 11.4 meters, Time: 8.2 seconds
Name: -, Instruction: Turn sharp left, Distance: 13.5 meters, Time: 9.7 seconds
Name: -, Instruction: Turn right, Distance: 89.9 meters, Time: 64.7 seconds
Name: -, Instruction: Turn left, Distance: 38.5 meters, Time: 27.7 seconds
Name: -, Instruction: Turn right, Distance: 17.9 meters, Time: 12.9 seconds
Name: -, Instruction: Turn left, Distance: 44.4 meters, Time: 32.0 seconds
Name: Primrose Street, Instruction: Turn right onto Primrose Street, Distance: 136.1 meters, Time: 98.0 seconds
Name: Lamb Street, Instruction: Continue straight onto Lamb Street, Distance: 121.0 meters, Time: 87.1 seconds
Name: -, Instruction: Turn slight left, Distance: 4.7 meters, Time: 3.4 seconds
Name: -, Instruction: Turn right, Distance: 20.3 meters, Time: 14.6 seconds
Name: Lamb Street, Instruction: Continue straight onto Lamb Street, Distance: 388.5 meters, Time: 279.7 seconds
Name: Hanbury Street, Instruction: Turn right onto Hanbury Street, Distance: 322.5 meters, Time: 232.2 seconds
Name: -, Instruction: Turn left, Distance: 31.1 meters, Time: 22.4 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
