Name: Fallstraße, Instruction: Head south on Fallstraße, Distance: 54.0 meters, Time: 38.9 seconds
Name: -, Instruction: Turn left, Distance: 112.4 meters, Time: 80.9 seconds
Name: -, Instruction: Continue straight, Distance: 133.2 meters, Time: 95.9 seconds
Name: Alois-Johannes-Lippl-Weg, Instruction: Turn right onto Alois-Johannes-Lippl-Weg, Distance: 7.2 meters, Time: 5.2 seconds
Name: -, Instruction: Keep left, Distance: 85.9 meters, Time: 61.8 seconds
Name: -, Instruction: Turn sharp left, Distance: 108.8 meters, Time: 78.3 seconds
Name: -, Instruction: Turn left, Distance: 25.7 meters, Time: 18.5 seconds
Name: -, Instruction: Turn sharp right, Distance: 176.9 meters, Time: 127.4 seconds
Name: -, Instruction: Turn right, Distance: 101.8 meters, Time: 73.3 seconds
Name: Thalkirchner Straße, Instruction: Turn left onto Thalkirchner Straße, Distance: 8.9 meters, Time: 6.4 seconds
Name: Dietramszeller Straße, Instruction: Turn right onto Dietramszeller Straße, Distance: 358.6 meters, Time: 258.2 seconds
Name: Schäftlarnstraße, Instruction: Turn right onto Schäftlarnstraße, Distance: 58.1 meters, Time: 41.8 seconds
Name: -, Instruction: Turn left, Distance: 7.0 meters, Time: 5.1 seconds
Name: Schäftlarnstraße, Instruction: Continue straight onto Schäftlarnstraße, Distance: 41.9 meters, Time: 30.2 seconds
Name: -, Instruction: Arrive at Schäftlarnstraße, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
