Name: Callaghan Lane, Instruction: Head west on Callaghan Lane, Distance: 50.7 meters, Time: 36.5 seconds
Name: Ontario Street, Instruction: Turn right onto Ontario Street, Distance: 219.0 meters, Time: 157.7 seconds
Name: -, Instruction: Turn left, Distance: 40.6 meters, Time: 29.2 seconds
Name: Hagan Lane, Instruction: Turn right onto Hagan Lane, Distance: 119.2 meters, Time: 85.8 seconds
Name: Oskenonton Lane, Instruction: Turn right onto Oskenonton Lane, Distance: 52.1 meters, Time: 37.5 seconds
Name: -, Instruction: Turn left, Distance: 58.9 meters, Time: 42.4 seconds
Name: -, Instruction: Turn slight left, Distance: 20.1 meters, Time: 14.5 seconds
Name: -, Instruction: Turn right, Distance: 145.4 meters, Time: 104.7 seconds
Name: -, Instruction: Turn left, Distance: 28.9 meters, Time: 20.8 seconds
Name: -, Instruction: Turn right, Distance: 51.3 meters, Time: 36.9 seconds
Name: -, Instruction: Turn left, Distance: 50.3 meters, Time: 36.2 seconds
Name: -, Instruction: Turn right, Distance: 21.0 meters, Time: 15.1 seconds
Name: -, Instruction: Turn left, Distance: 447.3 meters, Time: 322.1 seconds
Name: -, Instruction: Turn right, Distance: 17.9 meters, Time: 12.9 seconds
Name: -, Instruction: Turn left, Distance: 170.2 meters, Time: 122.6 seconds
Name: -, Instruction: Keep right, Distance: 28.3 meters, Time: 20.4 seconds
Name: -, Instruction: Turn right, Distance: 270.8 meters, Time: 195.0 seconds
Name: -, Instruction: Turn left, Distance: 17.8 meters, Time: 12.8 seconds
Name: -, Instruction: Turn right, Distance: 4.8 meters, Time: 3.4 seconds
Name: Breadalbane Street, Instruction: Turn left onto Breadalbane Street, Distance: 43.6 meters, Time: 31.4 seconds
Name: St Luke Lane, Instruction: Turn right onto St Luke Lane, Distance: 7.2 meters, Time: 5.2 seconds
Name: -, Instruction: Turn left, Distance: 11.0 meters, Time: 7.9 seconds
Name: -, Instruction: Turn right, Distance: 102.2 meters, Time: 73.6 seconds
Name: -, Instruction: Turn right, Distance: 81.1 meters, Time: 58.4 seconds
Name: -, Instruction: Turn right, Distance: 168.2 meters, Time: 121.1 seconds
Name: -, Instruction: Turn left, Distance: 21.4 meters, Time: 15.4 seconds
Name: -, Instruction: Turn right, Distance: 6.1 meters, Time: 4.4 seconds
Name: -, Instruction: Turn left, Distance: 54.9 meters, Time: 39.6 seconds
Name: -, Instruction: Turn right, Distance: 31.2 meters, Time: 22.5 seconds
Name: -, Instruction: Turn left, Distance: 76.4 meters, Time: 55.0 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
