Name: Kimberley Street, Instruction: Head south on Kimberley Street, Distance: 27.8 meters, Time: 20.0 seconds
Name: -, Instruction: Turn right, Distance: 74.8 meters, Time: 53.8 seconds
Name: Caledon Street, Instruction: Turn left onto Caledon Street, Distance: 19.7 meters, Time: 14.2 seconds
Name: -, Instruction: Turn right, Distance: 38.6 meters, Time: 27.8 seconds
Name: -, Instruction: Turn right, Distance: 43.3 meters, Time: 31.2 seconds
Name: Townsend Street, Instruction: Turn right onto Townsend Street, Distance: 554.8 meters, Time: 399.4 seconds
Name: Smartt Road, Instruction: Turn right onto Smartt Road, Distance: 523.5 meters, Time: 376.9 seconds
Name: A.G. Visser Street, Instruction: Turn left onto A.G. Visser Street, Distance: 8.9 meters, Time: 6.4 seconds
Name: -, Instruction: Turn right, Distance: 103.7 meters, Time: 74.6 seconds
Name: -, Instruction: Keep right, Distance: 114.7 meters, Time: 82.6 seconds
Name: Alice Street, Instruction: Turn slight left onto Alice Street, Distance: 58.6 meters, Time: 42.2 seconds
Name: -, Instruction: Turn right, Distance: 8.2 meters, Time: 5.9 seconds
Name: -, Instruction: Turn left, Distance: 25.6 meters, Time: 18.4 seconds
Name: -, Instruction: Turn right, Distance: 78.7 meters, Time: 56.6 seconds
Name: Olienhout, Instruction: Turn right onto Olienhout, Distance: 72.0 meters, Time: 51.8 seconds
Name: -, Instruction: Turn sharp right, Distance: 19.9 meters, Time: 14.4 seconds
Name: Frans Conradie Drive, M25, Instruction: Turn left onto Frans Conradie Drive, M25, Distance: 118.5 meters, Time: 85.4 seconds
Name: -, Instruction: Turn left, Distance: 63.6 meters, Time: 45.8 seconds
Name: Kasteel Crescent, Instruction: Turn right onto Kasteel Crescent, Distance: 301.8 meters, Time: 217.3 seconds
Name: Nassau Street, Instruction: Turn right onto Nassau Street, Distance: 154.3 meters, Time: 111.1 seconds
Name: -, Instruction: Turn sharp left, Distance: 49.0 meters, Time: 35.3 seconds
Name: -, Instruction: Turn left, Distance: 11.0 meters, Time: 7.9 seconds
Name: -, Instruction: Turn left, Distance: 113.4 meters, Time: 81.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
