Name: Sebastian-Bauer-Straße, Instruction: Head north on Sebastian-Bauer-Straße, Distance: 190.2 meters, Time: 137.0 seconds
Name: Pfanzeltplatz, Instruction: Turn slight right onto Pfanzeltplatz, Distance: 6.9 meters, Time: 5.0 seconds
Name: Pfanzeltplatz, Instruction: Turn slight left onto Pfanzeltplatz, Distance: 25.0 meters, Time: 18.0 seconds
Name: Pfanzeltplatz, Instruction: Turn slight left onto Pfanzeltplatz, Distance: 83.1 meters, Time: 59.8 seconds
Name: Pfanzeltplatz, Instruction: Turn right onto Pfanzeltplatz, Distance: 68.9 meters, Time: 49.6 seconds
Name: -, Instruction: Continue straight, Distance: 11.6 meters, Time: 8.4 seconds
Name: -, Instruction: Turn right, Distance: 139.8 meters, Time: 100.7 seconds
Name: Bischof-Ketteler-Straße, Instruction: Turn left onto Bischof-Ketteler-Straße, Distance: 107.8 meters, Time: 77.6 seconds
Name: -, Instruction: Turn right, Distance: 26.8 meters, Time: 19.3 seconds
Name: -, Instruction: Turn slight left, Distance: 10.3 meters, Time: 7.4 seconds
Name: -, Instruction: Turn right, Distance: 115.3 meters, Time: 83.0 seconds
Name: Prinz-Konstantin-Straße, Instruction: Turn left onto Prinz-Konstantin-Straße, Distance: 14.6 meters, Time: 10.5 seconds
Name: Holzwiesenstraße, Instruction: Turn right onto Holzwiesenstraße, Distance: 150.2 meters, Time: 108.1 seconds
Name: Adenauerring, Instruction: Keep left onto Adenauerring, Distance: 399.0 meters, Time: 287.3 seconds
Name: -, Instruction: Turn left, Distance: 253.8 meters, Time: 182.7 seconds
Name: -, Instruction: Turn right, Distance: 8.3 meters, Time: 6.0 seconds
Name: -, Instruction: Turn left, Distance: 13.0 meters, Time: 9.4 seconds
Name: -, Instruction: Turn right, Distance: 91.5 meters, Time: 65.9 seconds
Name: -, Instruction: Turn left, Distance: 8.5 meters, Time: 6.1 seconds
Name: Plettstraße, Instruction: Turn right onto Plettstraße, Distance: 268.9 meters, Time: 193.6 seconds
Name: -, Instruction: Turn right, Distance: 224.6 meters, Time: 161.7 seconds
Name: -, Instruction: Turn slight right, Distance: 5.9 meters, Time: 4.3 seconds
Name: -, Instruction: Keep left, Distance: 6.2 meters, Time: 4.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
