Name: Avenue Paul Doumer, Instruction: Head northeast on Avenue Paul Doumer, Distance: 28.6 meters, Time: 20.6 seconds
Name: Rue Benjamin Franklin, Instruction: Turn right onto Rue Benjamin Franklin, Distance: 367.2 meters, Time: 264.4 seconds
Name: -, Instruction: Turn left, Distance: 5.8 meters, Time: 4.2 seconds
Name: -, Instruction: Turn right, Distance: 13.9 meters, Time: 10.0 seconds
Name: -, Instruction: Turn slight left, Distance: 28.2 meters, Time: 20.3 seconds
Name: -, Instruction: Turn right, Distance: 8.3 meters, Time: 6.0 seconds
Name: -, Instruction: Turn left, Distance: 96.5 meters, Time: 69.5 seconds
Name: Rue Marietta Alboni, Instruction: Continue straight onto Rue Marietta Alboni, Distance: 48.5 meters, Time: 34.9 seconds
Name: -, Instruction: Turn slight right, Distance: 64.7 meters, Time: 46.6 seconds
Name: -, Instruction: Turn left, Distance: 6.1 meters, Time: 4.4 seconds
Name: -, Instruction: Turn right, Distance: 9.6 meters, Time: 6.9 seconds
Name: -, Instruction: Turn left, Distance: 12.8 meters, Time: 9.2 seconds
Name: -, Instruction: Continue straight, Distance: 11.6 meters, Time: 8.4 seconds
Name: -, Instruction: Turn sharp right, Distance: 304.2 meters, Time: 219.0 seconds
Name: -, Instruction: Turn left, Distance: 18.2 meters, Time: 13.1 seconds
Name: -, Instruction: Turn left, Distance: 8.1 meters, Time: 5.8 seconds
Name: -, Instruction: Turn right, Distance: 33.1 meters, Time: 23.8 seconds
Name: -, Instruction: Turn slight right, Distance: 3.1 meters, Time: 2.3 seconds
Name: -, Instruction: Turn left, Distance: 12.2 meters, Time: 8.8 seconds
Name: -, Instruction: Turn slight left, Distance: 190.6 meters, Time: 137.2 seconds
Name: -, Instruction: Keep left, Distance: 8.5 meters, Time: 6.1 seconds
Name: Rue Saint-Charles, Instruction: Turn right onto Rue Saint-Charles, Distance: 410.9 meters, Time: 295.9 seconds
Name: -, Instruction: Arrive at Rue Saint-Charles, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
