Name: 29, Instruction: Head northeast on 29, Distance: 23.0 meters, Time: 16.6 seconds
Name: -, Instruction: Turn left, Distance: 6.3 meters, Time: 4.5 seconds
Name: 28, Instruction: Turn right onto 28, Distance: 40.2 meters, Time: 29.0 seconds
Name: AK, Instruction: Turn left onto AK, Distance: 38.8 meters, Time: 27.9 seconds
Name: 21, Instruction: Turn right onto 21, Distance: 3.6 meters, Time: 2.6 seconds
Name: -, Instruction: Turn left, Distance: 29.5 meters, Time: 21.2 seconds
Name: 17, Instruction: Turn right onto 17, Distance: 95.9 meters, Time: 69.0 seconds
Name: Sturt Drive, Instruction: Turn slight left onto Sturt Drive, Distance: 0.4 meters, Time: 0.3 seconds
Name: -, Instruction: Turn right, Distance: 312.1 meters, Time: 224.7 seconds
Name: -, Instruction: Turn left, Distance: 5.6 meters, Time: 4.0 seconds
Name: Westbourne Street, Instruction: Turn right onto Westbourne Street, Distance: 132.7 meters, Time: 95.6 seconds
Name: -, Instruction: Turn left, Distance: 149.8 meters, Time: 107.9 seconds
Name: -, Instruction: Turn right, Distance: 65.8 meters, Time: 47.4 seconds
Name: -, Instruction: Keep left, Distance: 7.3 meters, Time: 5.3 seconds
Name: -, Instruction: Turn slight left, Distance: 3.5 meters, Time: 2.5 seconds
Name: Ella Street, Instruction: Turn right onto Ella Street, Distance: 59.7 meters, Time: 43.0 seconds
Name: -, Instruction: Arrive at Ella Street, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
