Name: 西台中央通り, Instruction: Head southwest on 西台中央通り, Distance: 41.4 meters, Time: 29.8 seconds
Name: -, Instruction: Turn sharp left, Distance: 58.6 meters, Time: 42.2 seconds
Name: -, Instruction: Turn right, Distance: 91.7 meters, Time: 66.0 seconds
Name: -, Instruction: Turn left, Distance: 24.9 meters, Time: 17.9 seconds
Name: -, Instruction: Turn sharp right, Distance: 8.2 meters, Time: 5.9 seconds
Name: -, Instruction: Turn left, Distance: 93.4 meters, Time: 67.3 seconds
Name: -, Instruction: Turn sharp right, Distance: 35.0 meters, Time: 25.2 seconds
Name: -, Instruction: Turn left, Distance: 76.2 meters, Time: 54.9 seconds
Name: -, Instruction: Turn left, Distance: 33.6 meters, Time: 24.2 seconds
Name: -, Instruction: Turn right, Distance: 131.5 meters, Time: 94.7 seconds
Name: -, Instruction: Continue straight, Distance: 29.7 meters, Time: 21.4 seconds
Name: -, Instruction: Turn left, Distance: 110.4 meters, Time: 79.5 seconds
Name: -, Instruction: Turn left, Distance: 14.1 meters, Time: 10.1 seconds
Name: -, Instruction: Turn right, Distance: 100.9 meters, Time: 72.6 seconds
Name: -, Instruction: Turn left, Distance: 545.7 meters, Time: 392.9 seconds
Name: -, Instruction: Continue straight, Distance: 38.4 meters, Time: 27.6 seconds
Name: -, Instruction: Turn left, Distance: 96.6 meters, Time: 69.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
