Name: Kanoona Street, Instruction: Head north on Kanoona Street, Distance: 384.5 meters, Time: 276.9 seconds
Name: -, Instruction: Turn right, Distance: 388.4 meters, Time: 279.7 seconds
Name: -, Instruction: Turn left, Distance: 25.8 meters, Time: 18.6 seconds
Name: -, Instruction: Turn right, Distance: 71.7 meters, Time: 51.6 seconds
Name: President Lane, Instruction: Turn left onto President Lane, Distance: 36.4 meters, Time: 26.2 seconds
Name: -, Instruction: Turn right, Distance: 6.2 meters, Time: 4.5 seconds
Name: McDonald's Drivethru, Instruction: Turn left onto McDonald's Drivethru, Distance: 40.7 meters, Time: 29.3 seconds
Name: Park Lane, Instruction: Turn right onto Park Lane, Distance: 1.9 meters, Time: 1.4 seconds
Name: -, Instruction: Turn sharp left, Distance: 41.9 meters, Time: 30.2 seconds
Name: -, Instruction: Keep right, Distance: 99.4 meters, Time: 71.6 seconds
Name: -, Instruction: Turn right, Distance: 93.0 meters, Time: 66.9 seconds
Name: Hay Avenue, Instruction: Turn left onto Hay Avenue, Distance: 42.5 meters, Time: 30.6 seconds
Name: -, Instruction: Arrive at Hay Avenue, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
