Name: Rue de la Clef, Instruction: Head north on Rue de la Clef, Distance: 262.4 meters, Time: 188.9 seconds
Name: -, Instruction: Turn right, Distance: 4.9 meters, Time: 3.5 seconds
Name: -, Instruction: Turn left, Distance: 66.9 meters, Time: 48.2 seconds
Name: -, Instruction: Turn right, Distance: 57.9 meters, Time: 41.7 seconds
Name: -, Instruction: Turn left, Distance: 6.1 meters, Time: 4.4 seconds
Name: -, Instruction: Turn right, Distance: 3.0 meters, Time: 2.2 seconds
Name: -, Instruction: Keep left, Distance: 64.3 meters, Time: 46.3 seconds
Name: -, Instruction: Turn right, Distance: 3.5 meters, Time: 2.5 seconds
Name: Rue de Navarre, Instruction: Turn left onto Rue de Navarre, Distance: 8.8 meters, Time: 6.4 seconds
Name: Place Émile Mâle, Instruction: Continue straight onto Place Émile Mâle, Distance: 135.5 meters, Time: 97.5 seconds
Name: -, Instruction: Arrive at Place Émile Mâle, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
