Name: Buscomb Avenue, Instruction: Head southwest on Buscomb Avenue, Distance: 9.4 meters, Time: 6.8 seconds
Name: -, Instruction: Turn right, Distance: 8.7 meters, Time: 6.3 seconds
Name: -, Instruction: Turn left, Distance: 87.9 meters, Time: 63.3 seconds
Name: -, Instruction: Turn right, Distance: 99.4 meters, Time: 71.6 seconds
Name: -, Instruction: Turn right, Distance: 159.9 meters, Time: 115.1 seconds
Name: -, Instruction: Turn right, Distance: 179.8 meters, Time: 129.4 seconds
Name: -, Instruction: Turn left, Distance: 41.7 meters, Time: 30.0 seconds
Name: -, Instruction: Turn right, Distance: 3.9 meters, Time: 2.8 seconds
Name: -, Instruction: Keep left, Distance: 60.1 meters, Time: 43.3 seconds
Name: -, Instruction: Turn right, Distance: 5.6 meters, Time: 4.0 seconds
Name: Norval Road, Instruction: Turn left onto Norval Road, Distance: 51.6 meters, Time: 37.2 seconds
Name: Pinedale Place, Instruction: Keep right onto Pinedale Place, Distance: 70.2 meters, Time: 50.6 seconds
Name: -, Instruction: Turn left, Distance: 4.4 meters, Time: 3.2 seconds
Name: -, Instruction: Turn right, Distance: 173.0 meters, Time: 124.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
