Name: Allmannshausener Straße, Instruction: Head north on Allmannshausener Straße, Distance: 182.9 meters, Time: 131.7 seconds
Name: Dönnigesstraße, Instruction: Turn left onto Dönnigesstraße, Distance: 5.1 meters, Time: 3.7 seconds
Name: -, Instruction: Turn right, Distance: 72.5 meters, Time: 52.2 seconds
Name: -, Instruction: Keep left, Distance: 35.2 meters, Time: 25.3 seconds
Name: -, Instruction: Turn slight right, Distance: 20.5 meters, Time: 14.8 seconds
Name: -, Instruction: Turn left, Distance: 2.7 meters, Time: 1.9 seconds
Name: -, Instruction: Turn right, Distance: 96.5 meters, Time: 69.5 seconds
Name: Seumestraße, Instruction: Turn left onto Seumestraße, Distance: 26.1 meters, Time: 18.8 seconds
Name: -, Instruction: Turn right, Distance: 66.4 meters, Time: 47.8 seconds
Name: -, Instruction: Turn slight right, Distance: 831.7 meters, Time: 598.8 seconds
Name: -, Instruction: Turn right, Distance: 43.2 meters, Time: 31.1 seconds
Name: -, Instruction: Turn right, Distance: 71.0 meters, Time: 51.2 seconds
Name: -, Instruction: Turn left, Distance: 35.1 meters, Time: 25.3 seconds
Name: -, Instruction: Turn right, Distance: 16.6 meters, Time: 11.9 seconds
Name: -, Instruction: Turn left, Distance: 7.9 meters, Time: 5.7 seconds
Name: -, Instruction: Turn right, Distance: 5.5 meters, Time: 4.0 seconds
Name: -, Instruction: Turn left, Distance: 18.7 meters, Time: 13.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
