Name: Rua Alfeu Faria Casto, Instruction: Head east on Rua Alfeu Faria Casto, Distance: 131.2 meters, Time: 94.5 seconds
Name: -, Instruction: Turn left, Distance: 56.3 meters, Time: 40.6 seconds
Name: -, Instruction: Turn right, Distance: 105.3 meters, Time: 75.8 seconds
Name: Rua João Pereira, Instruction: Turn left onto Rua João Pereira, Distance: 12.5 meters, Time: 9.0 seconds
Name: Rua Carvalho de Souza, Instruction: Turn right onto Rua Carvalho de Souza, Distance: 216.7 meters, Time: 156.0 seconds
Name: Avenida Ministro Edgard Romero, Instruction: Keep right onto Avenida Ministro Edgard Romero, Distance: 83.3 meters, Time: 60.0 seconds
Name: Estrada do Portela, Instruction: Continue straight onto Estrada do Portela, Distance: 3.9 meters, Time: 2.8 seconds
Name: -, Instruction: Turn right, Distance: 30.2 meters, Time: 21.7 seconds
Name: -, Instruction: Turn left, Distance: 97.0 meters, Time: 69.9 seconds
Name: -, Instruction: Turn slight right, Distance: 401.6 meters, Time: 289.1 seconds
Name: Rua Soares Caldeira, Instruction: Turn right onto Rua Soares Caldeira, Distance: 77.2 meters, Time: 55.6 seconds
Name: Rua Conselheiro Galvão, Instruction: Turn right onto Rua Conselheiro Galvão, Distance: 9.2 meters, Time: 6.6 seconds
Name: -, Instruction: Turn left, Distance: 50.1 meters, Time: 36.0 seconds
Name: -, Instruction: Turn right, Distance: 58.5 meters, Time: 42.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
