Name: Augusta Avenue, Instruction: Head south on Augusta Avenue, Distance: 115.6 meters, Time: 83.3 seconds
Name: -, Instruction: Turn right, Distance: 4.8 meters, Time: 3.4 seconds
Name: -, Instruction: Turn left, Distance: 121.2 meters, Time: 87.3 seconds
Name: -, Instruction: Turn right, Distance: 66.8 meters, Time: 48.1 seconds
Name: -, Instruction: Turn left, Distance: 4.3 meters, Time: 3.1 seconds
Name: Wolseley Street, Instruction: Turn right onto Wolseley Street, Distance: 287.5 meters, Time: 207.0 seconds
Name: Bathurst Street, Instruction: Turn right onto Bathurst Street, Distance: 5.6 meters, Time: 4.0 seconds
Name: Wolseley Street, Instruction: Turn left onto Wolseley Street, Distance: 8.9 meters, Time: 6.4 seconds
Name: -, Instruction: Turn left, Distance: 43.8 meters, Time: 31.6 seconds
Name: Willis Street, Instruction: Turn right onto Willis Street, Distance: 88.9 meters, Time: 64.0 seconds
Name: -, Instruction: Turn left, Distance: 5.3 meters, Time: 3.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
