Name: Baubergerstraße, Instruction: Head southwest on Baubergerstraße, Distance: 5.3 meters, Time: 3.8 seconds
Name: -, Instruction: Turn left, Distance: 8.1 meters, Time: 5.8 seconds
Name: -, Instruction: Turn right, Distance: 172.8 meters, Time: 124.4 seconds
Name: -, Instruction: Keep left, Distance: 271.2 meters, Time: 195.3 seconds
Name: -, Instruction: Keep right, Distance: 15.2 meters, Time: 11.0 seconds
Name: -, Instruction: Keep right, Distance: 4.2 meters, Time: 3.0 seconds
Name: -, Instruction: Keep left, Distance: 8.5 meters, Time: 6.1 seconds
Name: -, Instruction: Keep left, Distance: 71.0 meters, Time: 51.1 seconds
Name: -, Instruction: Turn left, Distance: 226.1 meters, Time: 162.8 seconds
Name: -, Instruction: Turn right, Distance: 9.6 meters, Time: 6.9 seconds
Name: Am Kapuzinerhölzl, Instruction: Turn left onto Am Kapuzinerhölzl, Distance: 119.5 meters, Time: 86.1 seconds
Name: -, Instruction: Turn left, Distance: 111.4 meters, Time: 80.2 seconds
Name: -, Instruction: Turn right, Distance: 76.3 meters, Time: 54.9 seconds
Name: -, Instruction: Turn right, Distance: 16.7 meters, Time: 12.0 seconds
Name: -, Instruction: Turn left, Distance: 25.7 meters, Time: 18.5 seconds
Name: -, Instruction: Turn left, Distance: 3.7 meters, Time: 2.7 seconds
Name: Franz-Schrank-Straße, Instruction: Turn right onto Franz-Schrank-Straße, Distance: 330.9 meters, Time: 238.3 seconds
Name: -, Instruction: Turn right, Distance: 151.6 meters, Time: 109.1 seconds
Name: -, Instruction: Turn left, Distance: 12.0 meters, Time: 8.7 seconds
Name: -, Instruction: Turn right, Distance: 57.2 meters, Time: 41.2 seconds
Name: -, Instruction: Turn left, Distance: 53.2 meters, Time: 38.3 seconds
Name: Goebel-Weg, Instruction: Turn right onto Goebel-Weg, Distance: 64.5 meters, Time: 46.4 seconds
Name: Schultes-Weg, Instruction: Turn left onto Schultes-Weg, Distance: 89.3 meters, Time: 64.3 seconds
Name: -, Instruction: Keep left, Distance: 15.1 meters, Time: 10.9 seconds
Name: -, Instruction: Turn slight left, Distance: 17.6 meters, Time: 12.7 seconds
Name: -, Instruction: Turn right, Distance: 12.2 meters, Time: 8.8 seconds
Name: -, Instruction: Turn left, Distance: 8.8 meters, Time: 6.4 seconds
Name: -, Instruction: Turn right, Distance: 7.8 meters, Time: 5.6 seconds
Name: -, Instruction: Turn left, Distance: 6.9 meters, Time: 5.0 seconds
Name: -, Instruction: Turn right, Distance: 7.1 meters, Time: 5.1 seconds
Name: -, Instruction: Keep left, Distance: 36.7 meters, Time: 26.4 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
