Name: Mangstraße, Instruction: Head west on Mangstraße, Distance: 22.4 meters, Time: 16.1 seconds
Name: -, Instruction: Turn right, Distance: 157.6 meters, Time: 113.4 seconds
Name: -, Instruction: Turn left, Distance: 47.2 meters, Time: 34.0 seconds
Name: -, Instruction: Turn right, Distance: 26.7 meters, Time: 19.2 seconds
Name: -, Instruction: Turn left, Distance: 15.3 meters, Time: 11.0 seconds
Name: -, Instruction: Continue straight, Distance: 19.9 meters, Time: 14.3 seconds
Name: Von-Reuter-Straße, Instruction: Turn right onto Von-Reuter-Straße, Distance: 80.6 meters, Time: 58.0 seconds
Name: Von-Reuter-Straße, Instruction: Turn left onto Von-Reuter-Straße, Distance: 169.6 meters, Time: 122.1 seconds
Name: Peter-Winter-Straße, Instruction: Turn right onto Peter-Winter-Straße, Distance: 114.6 meters, Time: 82.5 seconds
Name: Schönleutnerstraße, Instruction: Turn left onto Schönleutnerstraße, Distance: 29.9 meters, Time: 21.5 seconds
Name: -, Instruction: Turn right, Distance: 15.6 meters, Time: 11.2 seconds
Name: -, Instruction: Turn left, Distance: 10.1 meters, Time: 7.3 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
