Name: Rue Saint-Benoît, Instruction: Head south on Rue Saint-Benoît, Distance: 6.2 meters, Time: 4.5 seconds
Name: -, Instruction: Turn left, Distance: 4.0 meters, Time: 2.9 seconds
Name: -, Instruction: Turn slight right, Distance: 62.5 meters, Time: 45.0 seconds
Name: -, Instruction: Turn left, Distance: 255.2 meters, Time: 183.8 seconds
Name: -, Instruction: Turn right, Distance: 67.7 meters, Time: 48.7 seconds
Name: -, Instruction: Turn left, Distance: 2.3 meters, Time: 1.7 seconds
Name: -, Instruction: Turn right, Distance: 12.3 meters, Time: 8.8 seconds
Name: -, Instruction: Turn right, Distance: 3.7 meters, Time: 2.7 seconds
Name: -, Instruction: Turn right, Distance: 27.2 meters, Time: 19.6 seconds
Name: -, Instruction: Turn slight left, Distance: 49.3 meters, Time: 35.5 seconds
Name: -, Instruction: Turn left, Distance: 2.2 meters, Time: 1.6 seconds
Name: -, Instruction: Turn slight right, Distance: 82.1 meters, Time: 59.1 seconds
Name: Place Henri Mondor, Instruction: Keep left onto Place Henri Mondor, Distance: 86.6 meters, Time: 62.3 seconds
Name: -, Instruction: Turn slight left, Distance: 150.5 meters, Time: 108.3 seconds
Name: -, Instruction: Turn right, Distance: 1.9 meters, Time: 1.4 seconds
Name: -, Instruction: Turn left, Distance: 83.2 meters, Time: 59.9 seconds
Name: -, Instruction: Turn right, Distance: 5.9 meters, Time: 4.3 seconds
Name: -, Instruction: Turn left, Distance: 22.3 meters, Time: 16.1 seconds
Name: -, Instruction: Turn slight left, Distance: 4.4 meters, Time: 3.2 seconds
Name: -, Instruction: Keep right, Distance: 158.2 meters, Time: 113.9 seconds
Name: -, Instruction: Turn right, Distance: 4.3 meters, Time: 3.1 seconds
Name: -, Instruction: Turn left, Distance: 16.1 meters, Time: 11.6 seconds
Name: -, Instruction: Turn left, Distance: 2.9 meters, Time: 2.1 seconds
Name: -, Instruction: Turn right, Distance: 139.2 meters, Time: 100.3 seconds
Name: -, Instruction: Turn right, Distance: 14.0 meters, Time: 10.1 seconds
Name: -, Instruction: Keep left, Distance: 122.3 meters, Time: 88.0 seconds
Name: -, Instruction: Turn left, Distance: 13.5 meters, Time: 9.7 seconds
Name: -, Instruction: Turn left, Distance: 2.7 meters, Time: 2.0 seconds
Name: -, Instruction: Turn slight right, Distance: 5.2 meters, Time: 3.7 seconds
Name: -, Instruction: Turn left, Distance: 21.4 meters, Time: 15.4 seconds
Name: -, Instruction: Turn right, Distance: 357.2 meters, Time: 257.2 seconds
Name: -, Instruction: Turn slight right, Distance: 2.9 meters, Time: 2.1 seconds
Name: -, Instruction: Turn left, Distance: 113.0 meters, Time: 81.3 seconds
Name: -, Instruction: Turn slight right, Distance: 1.8 meters, Time: 1.3 seconds
Name: -, Instruction: Turn left, Distance: 27.2 meters, Time: 19.6 seconds
Name: -, Instruction: Turn sharp right, Distance: 40.1 meters, Time: 28.9 seconds
Name: -, Instruction: Turn left, Distance: 1.3 meters, Time: 0.9 seconds
Name: -, Instruction: Keep right, Distance: 236.6 meters, Time: 170.4 seconds
Name: -, Instruction: Continue straight, Distance: 3.8 meters, Time: 2.7 seconds
Name: -, Instruction: Turn right, Distance: 119.2 meters, Time: 85.8 seconds
Name: -, Instruction: Turn right, Distance: 3.7 meters, Time: 2.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
