Name: Ridout Street, Instruction: Head west on Ridout Street, Distance: 46.4 meters, Time: 33.4 seconds
Name: -, Instruction: Turn left, Distance: 400.5 meters, Time: 288.4 seconds
Name: -, Instruction: Turn right, Distance: 17.1 meters, Time: 12.3 seconds
Name: -, Instruction: Keep left, Distance: 21.8 meters, Time: 15.7 seconds
Name: -, Instruction: Keep left, Distance: 30.6 meters, Time: 22.0 seconds
Name: -, Instruction: Keep right, Distance: 93.3 meters, Time: 67.2 seconds
Name: -, Instruction: Keep right, Distance: 96.5 meters, Time: 69.5 seconds
Name: -, Instruction: Turn left, Distance: 21.5 meters, Time: 15.5 seconds
Name: -, Instruction: Turn right, Distance: 4.3 meters, Time: 3.1 seconds
Name: Geoffrey Street, Instruction: Turn left onto Geoffrey Street, Distance: 92.9 meters, Time: 66.9 seconds
Name: -, Instruction: Turn right, Distance: 11.0 meters, Time: 7.9 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
