Name: Warrimoo Avenue, Instruction: Head north on Warrimoo Avenue, Distance: 82.3 meters, Time: 59.2 seconds
Name: Dalton Road, Instruction: Turn right onto Dalton Road, Distance: 112.0 meters, Time: 80.7 seconds
Name: Collins Road, Instruction: Turn right onto Collins Road, Distance: 752.8 meters, Time: 542.0 seconds
Name: Toolang Road, Instruction: Turn left onto Toolang Road, Distance: 5.0 meters, Time: 3.6 seconds
Name: Collins Road, Instruction: Turn right onto Collins Road, Distance: 206.0 meters, Time: 148.3 seconds
Name: Kerrawah Avenue, Instruction: Turn right onto Kerrawah Avenue, Distance: 6.9 meters, Time: 5.0 seconds
Name: -, Instruction: Turn left, Distance: 111.0 meters, Time: 79.9 seconds
Name: -, Instruction: Turn right, Distance: 5.3 meters, Time: 3.8 seconds
Name: -, Instruction: Turn left, Distance: 568.6 meters, Time: 409.4 seconds
Name: -, Instruction: Turn left, Distance: 6.7 meters, Time: 4.9 seconds
Name: Collins Road, Instruction: Turn right onto Collins Road, Distance: 197.6 meters, Time: 142.2 seconds
Name: Kanoona Avenue, Instruction: Turn right onto Kanoona Avenue, Distance: 7.7 meters, Time: 5.5 seconds
Name: -, Instruction: Turn left, Distance: 180.8 meters, Time: 130.2 seconds
Name: -, Instruction: Turn right, Distance: 65.4 meters, Time: 47.1 seconds
Name: Village Green Parade, Instruction: Turn right onto Village Green Parade, Distance: 85.8 meters, Time: 61.8 seconds
Name: -, Instruction: Turn left, Distance: 13.4 meters, Time: 9.7 seconds
Name: -, Instruction: Turn left, Distance: 59.8 meters, Time: 43.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
