Name: President Avenue, Instruction: Head east on President Avenue, Distance: 8.4 meters, Time: 6.1 seconds
Name: -, Instruction: Turn left, Distance: 220.9 meters, Time: 159.1 seconds
Name: Flora Street, Instruction: Turn right onto Flora Street, Distance: 3.7 meters, Time: 2.6 seconds
Name: -, Instruction: Turn left, Distance: 22.4 meters, Time: 16.1 seconds
Name: Oak Road, Instruction: Turn slight left onto Oak Road, Distance: 156.0 meters, Time: 112.3 seconds
Name: -, Instruction: Turn slight right, Distance: 9.0 meters, Time: 6.5 seconds
Name: -, Instruction: Turn left, Distance: 41.9 meters, Time: 30.1 seconds
Name: Princes Highway, Instruction: Turn right onto Princes Highway, Distance: 417.7 meters, Time: 300.8 seconds
Name: -, Instruction: Turn left, Distance: 298.4 meters, Time: 214.9 seconds
Name: -, Instruction: Turn slight left, Distance: 36.0 meters, Time: 25.9 seconds
Name: -, Instruction: Turn right, Distance: 17.0 meters, Time: 12.3 seconds
Name: -, Instruction: Turn left, Distance: 44.9 meters, Time: 32.3 seconds
Name: -, Instruction: Turn left, Distance: 13.2 meters, Time: 9.5 seconds
Name: Bath Road, Instruction: Turn right onto Bath Road, Distance: 283.6 meters, Time: 204.2 seconds
Name: The Boulevarde, Instruction: Enter the roundabout and take the 1st exit onto The Boulevarde, Distance: 64.4 meters, Time: 46.4 seconds
Name: -, Instruction: Turn left, Distance: 45.3 meters, Time: 32.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
