Name: Rue d'Hautpoul, Instruction: Head south on Rue d'Hautpoul, Distance: 17.3 meters, Time: 12.5 seconds
Name: -, Instruction: Turn right, Distance: 5.9 meters, Time: 4.2 seconds
Name: -, Instruction: Turn left, Distance: 272.8 meters, Time: 196.5 seconds
Name: -, Instruction: Turn left, Distance: 9.4 meters, Time: 6.8 seconds
Name: -, Instruction: Turn right, Distance: 8.4 meters, Time: 6.0 seconds
Name: -, Instruction: Turn right, Distance: 8.7 meters, Time: 6.3 seconds
Name: -, Instruction: Turn left, Distance: 15.1 meters, Time: 10.9 seconds
Name: -, Instruction: Turn right, Distance: 0.9 meters, Time: 0.6 seconds
Name: -, Instruction: Continue straight, Distance: 10.4 meters, Time: 7.5 seconds
Name: Avenue de Crimée, Instruction: Turn left onto Avenue de Crimée, Distance: 71.8 meters, Time: 51.7 seconds
Name: Avenue de la Cascade, Instruction: Turn left onto Avenue de la Cascade, Distance: 197.1 meters, Time: 141.9 seconds
Name: -, Instruction: Turn left, Distance: 2.5 meters, Time: 1.8 seconds
Name: -, Instruction: Turn right, Distance: 114.5 meters, Time: 82.5 seconds
Name: -, Instruction: Keep right, Distance: 16.1 meters, Time: 11.6 seconds
Name: -, Instruction: Turn right, Distance: 1.7 meters, Time: 1.2 seconds
Name: Rue de la Villette, Instruction: Turn left onto Rue de la Villette, Distance: 157.7 meters, Time: 113.5 seconds
Name: -, Instruction: Turn left, Distance: 2.3 meters, Time: 1.6 seconds
Name: -, Instruction: Keep right, Distance: 0.6 meters, Time: 0.4 seconds
Name: -, Instruction: Turn right, Distance: 93.5 meters, Time: 67.3 seconds
Name: -, Instruction: Turn left, Distance: 15.4 meters, Time: 11.1 seconds
Name: -, Instruction: Turn right, Distance: 9.9 meters, Time: 7.1 seconds
Name: -, Instruction: Turn left, Distance: 3.5 meters, Time: 2.5 seconds
Name: -, Instruction: Turn slight left, Distance: 4.0 meters, Time: 2.9 seconds
Name: -, Instruction: Keep right, Distance: 0.9 meters, Time: 0.7 seconds
Name: -, Instruction: Turn right, Distance: 85.9 meters, Time: 61.8 seconds
Name: -, Instruction: Turn slight left, Distance: 2.3 meters, Time: 1.7 seconds
Name: -, Instruction: Keep right, Distance: 16.1 meters, Time: 11.6 seconds
Name: -, Instruction: Keep left, Distance: 123.3 meters, Time: 88.8 seconds
Name: -, Instruction: Turn right, Distance: 2.5 meters, Time: 1.8 seconds
Name: -, Instruction: Turn right, Distance: 1.4 meters, Time: 1.0 seconds
Name: -, Instruction: Turn left, Distance: 302.6 meters, Time: 217.9 seconds
Name: -, Instruction: Turn left, Distance: 4.0 meters, Time: 2.9 seconds
Name: -, Instruction: Turn sharp right, Distance: 9.1 meters, Time: 6.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
