Name: Nassau Street, Instruction: Head south on Nassau Street, Distance: 55.4 meters, Time: 39.9 seconds
Name: Kasteel Crescent, Instruction: Continue straight onto Kasteel Crescent, Distance: 106.6 meters, Time: 76.7 seconds
Name: -, Instruction: Turn right, Distance: 63.6 meters, Time: 45.8 seconds
Name: Frans Conradie Drive, M25, Instruction: Turn right onto Frans Conradie Drive, M25, Distance: 118.5 meters, Time: 85.4 seconds
Name: -, Instruction: Turn right, Distance: 19.9 meters, Time: 14.4 seconds
Name: Olienhout, Instruction: Turn sharp left onto Olienhout, Distance: 72.0 meters, Time: 51.8 seconds
Name: -, Instruction: Turn left, Distance: 78.7 meters, Time: 56.6 seconds
Name: -, Instruction: Turn left, Distance: 25.6 meters, Time: 18.4 seconds
Name: -, Instruction: Turn right, Distance: 8.2 meters, Time: 5.9 seconds
Name: Alice Street, Instruction: Turn left onto Alice Street, Distance: 58.6 meters, Time: 42.2 seconds
Name: -, Instruction: Keep right, Distance: 114.7 meters, Time: 82.6 seconds
Name: -, Instruction: Keep right, Distance: 27.7 meters, Time: 19.9 seconds
Name: -, Instruction: Turn left, Distance: 91.7 meters, Time: 66.0 seconds
Name: Smartt Road, Instruction: Turn slight left onto Smartt Road, Distance: 22.3 meters, Time: 16.0 seconds
Name: Alice Street, Instruction: Turn right onto Alice Street, Distance: 75.9 meters, Time: 54.6 seconds
Name: Van Rensburg Road, Instruction: Turn left onto Van Rensburg Road, Distance: 21.7 meters, Time: 15.7 seconds
Name: Alice Street, Instruction: Turn right onto Alice Street, Distance: 454.9 meters, Time: 327.5 seconds
Name: -, Instruction: Turn right, Distance: 34.9 meters, Time: 25.1 seconds
Name: Alice Street, Instruction: Turn left onto Alice Street, Distance: 43.9 meters, Time: 31.6 seconds
Name: -, Instruction: Turn left, Distance: 43.9 meters, Time: 31.6 seconds
Name: Alice Street, Instruction: Turn left onto Alice Street, Distance: 163.1 meters, Time: 117.4 seconds
Name: C.J. Langenhoven Road, Instruction: Turn right onto C.J. Langenhoven Road, Distance: 154.5 meters, Time: 111.2 seconds
Name: Goulburn Street, Instruction: Turn left onto Goulburn Street, Distance: 781.8 meters, Time: 562.9 seconds
Name: -, Instruction: Turn left, Distance: 46.7 meters, Time: 33.6 seconds
Name: -, Instruction: Turn right, Distance: 40.8 meters, Time: 29.3 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
