Name: Petunia Road, Instruction: Head southwest on Petunia Road, Distance: 77.1 meters, Time: 55.5 seconds
Name: -, Instruction: Turn right, Distance: 48.2 meters, Time: 34.7 seconds
Name: Foxglove Crescent, Instruction: Turn left onto Foxglove Crescent, Distance: 87.1 meters, Time: 62.7 seconds
Name: -, Instruction: Turn left, Distance: 103.2 meters, Time: 74.3 seconds
Name: -, Instruction: Turn sharp right, Distance: 16.0 meters, Time: 11.6 seconds
Name: -, Instruction: Turn left, Distance: 139.3 meters, Time: 100.3 seconds
Name: -, Instruction: Turn slight left, Distance: 363.1 meters, Time: 261.4 seconds
Name: Foot Path 5, Instruction: Turn sharp left onto Foot Path 5, Distance: 146.6 meters, Time: 105.6 seconds
Name: Foot Path 5, Instruction: Turn slight left onto Foot Path 5, Distance: 27.5 meters, Time: 19.8 seconds
Name: Main Path, Instruction: Turn right onto Main Path, Distance: 480.6 meters, Time: 346.0 seconds
Name: -, Instruction: Turn slight right, Distance: 17.2 meters, Time: 12.4 seconds
Name: -, Instruction: Turn right, Distance: 6.7 meters, Time: 4.8 seconds
Name: -, Instruction: Turn left, Distance: 11.0 meters, Time: 7.9 seconds
Name: -, Instruction: Turn left, Distance: 76.6 meters, Time: 55.1 seconds
Name: Eland Street, Instruction: Continue straight onto Eland Street, Distance: 296.9 meters, Time: 213.8 seconds
Name: -, Instruction: Turn left, Distance: 66.3 meters, Time: 47.7 seconds
Name: Doctor Abdurahman Avenue, Instruction: Turn right onto Doctor Abdurahman Avenue, Distance: 26.0 meters, Time: 18.7 seconds
Name: -, Instruction: Arrive at Doctor Abdurahman Avenue, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
