Name: Barge Walk, Instruction: Head northwest on Barge Walk, Distance: 74.0 meters, Time: 53.3 seconds
Name: Chandlers Avenue, Instruction: Turn left onto Chandlers Avenue, Distance: 18.6 meters, Time: 13.4 seconds
Name: Pilot Walk, Instruction: Continue straight onto Pilot Walk, Distance: 94.9 meters, Time: 68.3 seconds
Name: -, Instruction: Turn right, Distance: 129.1 meters, Time: 92.9 seconds
Name: -, Instruction: Turn left, Distance: 6.7 meters, Time: 4.8 seconds
Name: -, Instruction: Turn right, Distance: 273.3 meters, Time: 196.8 seconds
Name: Dormer Yard, Instruction: Turn left onto Dormer Yard, Distance: 12.3 meters, Time: 8.9 seconds
Name: -, Instruction: Turn right, Distance: 44.6 meters, Time: 32.1 seconds
Name: Soames Walk, Instruction: Continue straight onto Soames Walk, Distance: 121.3 meters, Time: 87.4 seconds
Name: -, Instruction: Turn left, Distance: 65.4 meters, Time: 47.1 seconds
Name: -, Instruction: Continue straight, Distance: 21.4 meters, Time: 15.4 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
