Name: Davenport Road, Instruction: Head west on Davenport Road, Distance: 8.9 meters, Time: 6.4 seconds
Name: -, Instruction: Turn left, Distance: 97.0 meters, Time: 69.8 seconds
Name: Beaver Avenue, Instruction: Turn right onto Beaver Avenue, Distance: 39.7 meters, Time: 28.6 seconds
Name: -, Instruction: Turn left, Distance: 49.0 meters, Time: 35.3 seconds
Name: -, Instruction: Turn right, Distance: 191.2 meters, Time: 137.7 seconds
Name: Lightbourn Avenue, Instruction: Turn sharp left onto Lightbourn Avenue, Distance: 45.9 meters, Time: 33.0 seconds
Name: -, Instruction: Turn right, Distance: 145.2 meters, Time: 104.5 seconds
Name: -, Instruction: Turn left, Distance: 97.9 meters, Time: 70.5 seconds
Name: Primrose Avenue, Instruction: Turn left onto Primrose Avenue, Distance: 33.5 meters, Time: 24.1 seconds
Name: -, Instruction: Turn right, Distance: 181.9 meters, Time: 131.0 seconds
Name: -, Instruction: Turn left, Distance: 6.2 meters, Time: 4.5 seconds
Name: Brandon Avenue, Instruction: Turn left onto Brandon Avenue, Distance: 0.3 meters, Time: 0.2 seconds
Name: -, Instruction: Arrive at Brandon Avenue, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
