Name: Leopoldstraße, Instruction: Head north on Leopoldstraße, Distance: 1.5 meters, Time: 1.1 seconds
Name: -, Instruction: Turn right, Distance: 124.5 meters, Time: 89.6 seconds
Name: -, Instruction: Turn left, Distance: 31.4 meters, Time: 22.6 seconds
Name: -, Instruction: Turn right, Distance: 120.9 meters, Time: 87.0 seconds
Name: -, Instruction: Turn left, Distance: 15.4 meters, Time: 11.1 seconds
Name: -, Instruction: Keep left, Distance: 196.8 meters, Time: 141.7 seconds
Name: -, Instruction: Turn left, Distance: 21.9 meters, Time: 15.8 seconds
Name: -, Instruction: Turn right, Distance: 90.7 meters, Time: 65.3 seconds
Name: -, Instruction: Turn right, Distance: 17.0 meters, Time: 12.3 seconds
Name: -, Instruction: Turn left, Distance: 29.7 meters, Time: 21.4 seconds
Name: Friedrichstraße, Instruction: Turn right onto Friedrichstraße, Distance: 429.3 meters, Time: 309.1 seconds
Name: -, Instruction: Turn left, Distance: 29.9 meters, Time: 21.5 seconds
Name: Kaiserstraße, Instruction: Turn slight left onto Kaiserstraße, Distance: 31.1 meters, Time: 22.4 seconds
Name: Kaiserplatz, Instruction: Turn right onto Kaiserplatz, Distance: 106.7 meters, Time: 76.8 seconds
Name: Viktoriastraße, Instruction: Continue straight onto Viktoriastraße, Distance: 478.2 meters, Time: 344.3 seconds
Name: -, Instruction: Turn left, Distance: 7.8 meters, Time: 5.6 seconds
Name: -, Instruction: Keep left, Distance: 37.3 meters, Time: 26.9 seconds
Name: -, Instruction: Turn sharp right, Distance: 13.6 meters, Time: 9.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
