Name: 野方駅前商店街, Instruction: Head north on 野方駅前商店街, Distance: 12.7 meters, Time: 9.1 seconds
Name: -, Instruction: Turn right, Distance: 124.2 meters, Time: 89.5 seconds
Name: -, Instruction: Turn left, Distance: 22.0 meters, Time: 15.8 seconds
Name: -, Instruction: Turn sharp left, Distance: 72.4 meters, Time: 52.1 seconds
Name: -, Instruction: Turn slight left, Distance: 80.1 meters, Time: 57.7 seconds
Name: -, Instruction: Turn right, Distance: 278.5 meters, Time: 200.5 seconds
Name: 新青梅街道, 440, Instruction: Turn sharp left onto 新青梅街道, 440, Distance: 8.8 meters, Time: 6.3 seconds
Name: -, Instruction: Turn right, Distance: 231.0 meters, Time: 166.3 seconds
Name: -, Instruction: Turn slight right, Distance: 44.7 meters, Time: 32.2 seconds
Name: -, Instruction: Turn right, Distance: 241.9 meters, Time: 174.1 seconds
Name: -, Instruction: Turn right, Distance: 4.5 meters, Time: 3.2 seconds
Name: -, Instruction: Turn sharp left, Distance: 42.0 meters, Time: 30.3 seconds
Name: -, Instruction: Turn right, Distance: 65.9 meters, Time: 47.4 seconds
Name: -, Instruction: Turn left, Distance: 505.7 meters, Time: 364.1 seconds
Name: -, Instruction: Turn sharp left, Distance: 11.0 meters, Time: 7.9 seconds
Name: -, Instruction: Keep right, Distance: 321.9 meters, Time: 231.7 seconds
Name: 豊中通り, Instruction: Turn right onto 豊中通り, Distance: 5.2 meters, Time: 3.7 seconds
Name: -, Instruction: Turn sharp left, Distance: 59.2 meters, Time: 42.6 seconds
Name: -, Instruction: Turn right, Distance: 306.0 meters, Time: 220.3 seconds
Name: -, Instruction: Turn left, Distance: 95.1 meters, Time: 68.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
