Name: Bukit Batok Street 32, Instruction: Head southeast on Bukit Batok Street 32, Distance: 31.0 meters, Time: 22.3 seconds
Name: -, Instruction: Turn right, Distance: 235.7 meters, Time: 169.7 seconds
Name: -, Instruction: Turn right, Distance: 11.1 meters, Time: 8.0 seconds
Name: Bukit Batok West Park Connector, Instruction: Turn left onto Bukit Batok West Park Connector, Distance: 96.5 meters, Time: 69.5 seconds
Name: Bukit Batok Park Connector, Instruction: Turn right onto Bukit Batok Park Connector, Distance: 49.6 meters, Time: 35.7 seconds
Name: Bukit Batok Park Connector, Instruction: Continue straight onto Bukit Batok Park Connector, Distance: 109.6 meters, Time: 78.9 seconds
Name: -, Instruction: Turn left, Distance: 34.7 meters, Time: 25.0 seconds
Name: -, Instruction: Turn right, Distance: 32.2 meters, Time: 23.2 seconds
Name: Bukit Batok Park Connector, Instruction: Turn left onto Bukit Batok Park Connector, Distance: 441.1 meters, Time: 317.6 seconds
Name: -, Instruction: Turn slight right, Distance: 178.0 meters, Time: 128.2 seconds
Name: -, Instruction: Turn left, Distance: 24.5 meters, Time: 17.6 seconds
Name: -, Instruction: Turn right, Distance: 128.6 meters, Time: 92.6 seconds
Name: -, Instruction: Turn right, Distance: 14.3 meters, Time: 10.3 seconds
Name: -, Instruction: Turn slight left, Distance: 22.8 meters, Time: 16.4 seconds
Name: -, Instruction: Turn left, Distance: 19.0 meters, Time: 13.7 seconds
Name: -, Instruction: Turn sharp right, Distance: 415.9 meters, Time: 299.5 seconds
Name: -, Instruction: Turn right, Distance: 5.7 meters, Time: 4.1 seconds
Name: Bukit Batok Street 11, Instruction: Turn right onto Bukit Batok Street 11, Distance: 31.9 meters, Time: 23.0 seconds
Name: -, Instruction: Arrive at Bukit Batok Street 11, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
