Name: Woodbridge Street, Instruction: Head north on Woodbridge Street, Distance: 41.6 meters, Time: 30.0 seconds
Name: Donnelly Street, Instruction: Turn sharp left onto Donnelly Street, Distance: 135.4 meters, Time: 97.5 seconds
Name: -, Instruction: Turn left, Distance: 14.1 meters, Time: 10.1 seconds
Name: -, Instruction: Turn right, Distance: 12.6 meters, Time: 9.0 seconds
Name: Parkway Drive Shared Path, Instruction: Turn left onto Parkway Drive Shared Path, Distance: 35.5 meters, Time: 25.5 seconds
Name: Atkinson Street, Instruction: Turn right onto Atkinson Street, Distance: 205.3 meters, Time: 147.8 seconds
Name: -, Instruction: Turn left, Distance: 5.4 meters, Time: 3.9 seconds
Name: -, Instruction: Turn right, Distance: 9.4 meters, Time: 6.7 seconds
Name: -, Instruction: Turn slight left, Distance: 52.1 meters, Time: 37.5 seconds
Name: -, Instruction: Turn right, Distance: 14.4 meters, Time: 10.4 seconds
Name: -, Instruction: Turn left, Distance: 6.0 meters, Time: 4.3 seconds
Name: -, Instruction: Turn slight right, Distance: 52.4 meters, Time: 37.7 seconds
Name: -, Instruction: Turn slight right, Distance: 8.1 meters, Time: 5.8 seconds
Name: -, Instruction: Turn left, Distance: 14.4 meters, Time: 10.4 seconds
Name: -, Instruction: Turn left, Distance: 4.7 meters, Time: 3.4 seconds
Name: -, Instruction: Turn slight right, Distance: 61.0 meters, Time: 43.9 seconds
Name: -, Instruction: Turn left, Distance: 9.4 meters, Time: 6.8 seconds
Name: -, Instruction: Turn right, Distance: 4.9 meters, Time: 3.5 seconds
Name: -, Instruction: Turn left, Distance: 64.9 meters, Time: 46.7 seconds
Name: -, Instruction: Turn right, Distance: 5.4 meters, Time: 3.9 seconds
Name: -, Instruction: Turn left, Distance: 16.4 meters, Time: 11.8 seconds
Name: -, Instruction: Turn right, Distance: 76.0 meters, Time: 54.7 seconds
Name: Duley Street, Instruction: Turn left onto Duley Street, Distance: 40.9 meters, Time: 29.5 seconds
Name: -, Instruction: Arrive at Duley Street, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
