Name: Eigerstraße, Instruction: Head southwest on Eigerstraße, Distance: 168.0 meters, Time: 121.0 seconds
Name: Zehntfeldstraße, Instruction: Turn right onto Zehntfeldstraße, Distance: 16.7 meters, Time: 12.0 seconds
Name: Etzwiesenstraße, Instruction: Turn left onto Etzwiesenstraße, Distance: 88.1 meters, Time: 63.4 seconds
Name: -, Instruction: Turn right, Distance: 23.0 meters, Time: 16.6 seconds
Name: -, Instruction: Turn right, Distance: 45.8 meters, Time: 33.0 seconds
Name: -, Instruction: Turn left, Distance: 57.2 meters, Time: 41.2 seconds
Name: -, Instruction: Turn left, Distance: 82.5 meters, Time: 59.4 seconds
Name: -, Instruction: Turn right, Distance: 224.7 meters, Time: 161.8 seconds
Name: -, Instruction: Turn left, Distance: 45.4 meters, Time: 32.7 seconds
Name: -, Instruction: Turn right, Distance: 24.4 meters, Time: 17.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
