Name: Rue des Balkans, Instruction: Head north on Rue des Balkans, Distance: 2.0 meters, Time: 1.5 seconds
Name: -, Instruction: Keep right, Distance: 5.4 meters, Time: 3.9 seconds
Name: -, Instruction: Keep left, Distance: 71.1 meters, Time: 51.2 seconds
Name: -, Instruction: Turn slight right, Distance: 5.1 meters, Time: 3.7 seconds
Name: -, Instruction: Turn left, Distance: 16.9 meters, Time: 12.2 seconds
Name: -, Instruction: Turn right, Distance: 241.4 meters, Time: 173.8 seconds
Name: -, Instruction: Turn left, Distance: 54.9 meters, Time: 39.6 seconds
Name: -, Instruction: Turn right, Distance: 7.2 meters, Time: 5.2 seconds
Name: -, Instruction: Turn left, Distance: 2.5 meters, Time: 1.8 seconds
Name: -, Instruction: Turn slight left, Distance: 3.4 meters, Time: 2.4 seconds
Name: Rue Martin Garat, Instruction: Turn right onto Rue Martin Garat, Distance: 122.8 meters, Time: 88.4 seconds
Name: Rue Géo Chavez, Instruction: Turn left onto Rue Géo Chavez, Distance: 123.5 meters, Time: 88.9 seconds
Name: Place Octave Chanute, Instruction: Turn left onto Place Octave Chanute, Distance: 40.1 meters, Time: 28.9 seconds
Name: Rue du Capitaine Marchal, Instruction: Continue straight onto Rue du Capitaine Marchal, Distance: 25.5 meters, Time: 18.4 seconds
Name: Rue Étienne Marey, Instruction: Continue straight onto Rue Étienne Marey, Distance: 581.8 meters, Time: 418.9 seconds
Name: Avenue Gambetta, Instruction: Turn right onto Avenue Gambetta, Distance: 8.3 meters, Time: 6.0 seconds
Name: Rue Haxo, Instruction: Keep left onto Rue Haxo, Distance: 22.0 meters, Time: 15.8 seconds
Name: -, Instruction: Turn right, Distance: 4.7 meters, Time: 3.4 seconds
Name: -, Instruction: Turn left, Distance: 116.2 meters, Time: 83.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
