Name: Avenue des Canadiens, Instruction: Head north on Avenue des Canadiens, Distance: 13.9 meters, Time: 10.0 seconds
Name: -, Instruction: Turn right, Distance: 99.1 meters, Time: 71.3 seconds
Name: -, Instruction: Keep right, Distance: 78.9 meters, Time: 56.8 seconds
Name: -, Instruction: Turn left, Distance: 7.7 meters, Time: 5.6 seconds
Name: -, Instruction: Turn right, Distance: 103.4 meters, Time: 74.5 seconds
Name: -, Instruction: Keep right, Distance: 9.1 meters, Time: 6.6 seconds
Name: -, Instruction: Turn right, Distance: 11.2 meters, Time: 8.1 seconds
Name: Avenue Jean Jaurès, Instruction: Turn left onto Avenue Jean Jaurès, Distance: 680.2 meters, Time: 489.7 seconds
Name: Carrefour de Beauté, Instruction: Turn right onto Carrefour de Beauté, Distance: 54.0 meters, Time: 38.9 seconds
Name: -, Instruction: Turn right, Distance: 26.4 meters, Time: 19.0 seconds
Name: -, Instruction: Turn left, Distance: 22.7 meters, Time: 16.4 seconds
Name: -, Instruction: Turn right, Distance: 15.1 meters, Time: 10.9 seconds
Name: -, Instruction: Turn left, Distance: 151.1 meters, Time: 108.8 seconds
Name: Avenue de la Source, Instruction: Turn right onto Avenue de la Source, Distance: 315.7 meters, Time: 227.3 seconds
Name: Avenue des Merisiers, Instruction: Turn sharp left onto Avenue des Merisiers, Distance: 51.6 meters, Time: 37.1 seconds
Name: Villa des Chênes, Instruction: Turn right onto Villa des Chênes, Distance: 107.8 meters, Time: 77.6 seconds
Name: -, Instruction: Arrive at Villa des Chênes, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
