Name: Shank Street, Instruction: Head west on Shank Street, Distance: 424.1 meters, Time: 305.4 seconds
Name: -, Instruction: Turn left, Distance: 33.8 meters, Time: 24.4 seconds
Name: -, Instruction: Turn sharp right, Distance: 287.5 meters, Time: 207.0 seconds
Name: -, Instruction: Turn left, Distance: 13.2 meters, Time: 9.5 seconds
Name: -, Instruction: Turn right, Distance: 2.3 meters, Time: 1.7 seconds
Name: -, Instruction: Keep left, Distance: 489.5 meters, Time: 352.4 seconds
Name: -, Instruction: Turn right, Distance: 18.2 meters, Time: 13.1 seconds
Name: -, Instruction: Turn left, Distance: 104.9 meters, Time: 75.6 seconds
Name: -, Instruction: Turn right, Distance: 180.9 meters, Time: 130.3 seconds
Name: -, Instruction: Turn slight left, Distance: 88.8 meters, Time: 63.9 seconds
Name: Alma Avenue, Instruction: Turn left onto Alma Avenue, Distance: 16.4 meters, Time: 11.8 seconds
Name: -, Instruction: Turn right, Distance: 147.2 meters, Time: 106.0 seconds
Name: -, Instruction: Turn slight left, Distance: 27.9 meters, Time: 20.1 seconds
Name: -, Instruction: Turn right, Distance: 5.8 meters, Time: 4.1 seconds
Name: Florence Street, Instruction: Turn left onto Florence Street, Distance: 13.7 meters, Time: 9.9 seconds
Name: -, Instruction: Turn right, Distance: 4.6 meters, Time: 3.3 seconds
Name: -, Instruction: Turn left, Distance: 103.9 meters, Time: 74.8 seconds
Name: -, Instruction: Turn right, Distance: 91.1 meters, Time: 65.6 seconds
Name: -, Instruction: Turn slight left, Distance: 6.0 meters, Time: 4.3 seconds
Name: Gordon Street, Instruction: Turn left onto Gordon Street, Distance: 3.9 meters, Time: 2.8 seconds
Name: Sheridan Avenue, Instruction: Turn right onto Sheridan Avenue, Distance: 30.6 meters, Time: 22.0 seconds
Name: -, Instruction: Turn left, Distance: 4.5 meters, Time: 3.2 seconds
Name: -, Instruction: Turn slight left, Distance: 12.1 meters, Time: 8.7 seconds
Name: -, Instruction: Turn right, Distance: 81.6 meters, Time: 58.8 seconds
Name: -, Instruction: Turn slight left, Distance: 72.2 meters, Time: 52.0 seconds
Name: -, Instruction: Turn right, Distance: 78.7 meters, Time: 56.7 seconds
Name: -, Instruction: Turn left, Distance: 12.1 meters, Time: 8.7 seconds
Name: -, Instruction: Turn right, Distance: 32.1 meters, Time: 23.1 seconds
Name: -, Instruction: Keep right, Distance: 6.5 meters, Time: 4.7 seconds
Name: Wyndham Street, Instruction: Turn right onto Wyndham Street, Distance: 6.8 meters, Time: 4.9 seconds
Name: -, Instruction: Arrive at Wyndham Street, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
