Name: Birkkarspitzstraße, Instruction: Head north on Birkkarspitzstraße, Distance: 14.9 meters, Time: 10.7 seconds
Name: -, Instruction: Continue straight, Distance: 141.8 meters, Time: 102.1 seconds
Name: Piusplatz, Instruction: Turn left onto Piusplatz, Distance: 15.1 meters, Time: 10.8 seconds
Name: -, Instruction: Turn right, Distance: 89.6 meters, Time: 64.5 seconds
Name: Piusplatz, Instruction: Turn left onto Piusplatz, Distance: 5.4 meters, Time: 3.9 seconds
Name: Heufelder Straße, Instruction: Turn right onto Heufelder Straße, Distance: 167.3 meters, Time: 120.5 seconds
Name: -, Instruction: Turn left, Distance: 12.2 meters, Time: 8.8 seconds
Name: Grafinger Straße, Instruction: Turn left onto Grafinger Straße, Distance: 62.9 meters, Time: 45.3 seconds
Name: -, Instruction: Turn right, Distance: 49.7 meters, Time: 35.8 seconds
Name: -, Instruction: Continue straight, Distance: 69.2 meters, Time: 49.8 seconds
Name: -, Instruction: Turn left, Distance: 11.8 meters, Time: 8.5 seconds
Name: Gotteszeller Straße, Instruction: Turn right onto Gotteszeller Straße, Distance: 185.5 meters, Time: 133.6 seconds
Name: -, Instruction: Turn left, Distance: 15.5 meters, Time: 11.1 seconds
Name: -, Instruction: Turn right, Distance: 55.8 meters, Time: 40.2 seconds
Name: Innsbrucker Ring, Instruction: Turn left onto Innsbrucker Ring, Distance: 151.0 meters, Time: 108.7 seconds
Name: -, Instruction: Keep left, Distance: 8.1 meters, Time: 5.9 seconds
Name: -, Instruction: Turn left, Distance: 26.3 meters, Time: 18.9 seconds
Name: Ampfingstraße, Instruction: Turn left onto Ampfingstraße, Distance: 47.3 meters, Time: 34.1 seconds
Name: -, Instruction: Turn right, Distance: 19.7 meters, Time: 14.2 seconds
Name: -, Instruction: Turn right, Distance: 122.4 meters, Time: 88.1 seconds
Name: Trausnitzstraße, Instruction: Turn right onto Trausnitzstraße, Distance: 82.6 meters, Time: 59.5 seconds
Name: -, Instruction: Turn left, Distance: 85.8 meters, Time: 61.8 seconds
Name: -, Instruction: Keep right, Distance: 12.2 meters, Time: 8.8 seconds
Name: -, Instruction: Keep left, Distance: 22.4 meters, Time: 16.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
