Name: Rue Anna Jacquin, Instruction: Head east on Rue Anna Jacquin, Distance: 5.4 meters, Time: 3.9 seconds
Name: Place Bernard Palissy, Instruction: Turn right onto Place Bernard Palissy, Distance: 20.9 meters, Time: 15.1 seconds
Name: -, Instruction: Turn left, Distance: 37.8 meters, Time: 27.2 seconds
Name: -, Instruction: Turn right, Distance: 6.9 meters, Time: 4.9 seconds
Name: -, Instruction: Keep left, Distance: 150.1 meters, Time: 108.1 seconds
Name: -, Instruction: Turn left, Distance: 8.1 meters, Time: 5.8 seconds
Name: -, Instruction: Turn slight right, Distance: 2.0 meters, Time: 1.5 seconds
Name: -, Instruction: Turn left, Distance: 66.8 meters, Time: 48.1 seconds
Name: Rue Alfred Laurant, Instruction: Turn right onto Rue Alfred Laurant, Distance: 4.1 meters, Time: 3.0 seconds
Name: Rue Escudier, Instruction: Turn left onto Rue Escudier, Distance: 81.4 meters, Time: 58.6 seconds
Name: -, Instruction: Turn right, Distance: 4.2 meters, Time: 3.0 seconds
Name: -, Instruction: Turn left, Distance: 84.4 meters, Time: 60.8 seconds
Name: -, Instruction: Turn right, Distance: 239.2 meters, Time: 172.2 seconds
Name: Rue de Paris, Instruction: Turn left onto Rue de Paris, Distance: 344.4 meters, Time: 248.0 seconds
Name: Rue de Paris, Instruction: Keep left onto Rue de Paris, Distance: 124.1 meters, Time: 89.4 seconds
Name: Rue de l'Est, Instruction: Turn right onto Rue de l'Est, Distance: 118.9 meters, Time: 85.6 seconds
Name: -, Instruction: Turn left, Distance: 4.8 meters, Time: 3.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
