Name: Maltings Place, Instruction: Head west on Maltings Place, Distance: 4.0 meters, Time: 2.9 seconds
Name: Brunswick Court, Instruction: Turn right onto Brunswick Court, Distance: 62.8 meters, Time: 45.2 seconds
Name: Druid Street, A2207, Instruction: Turn sharp right onto Druid Street, A2207, Distance: 2.5 meters, Time: 1.8 seconds
Name: -, Instruction: Turn left, Distance: 35.0 meters, Time: 25.2 seconds
Name: -, Instruction: Turn right, Distance: 23.9 meters, Time: 17.2 seconds
Name: -, Instruction: Turn left, Distance: 15.0 meters, Time: 10.8 seconds
Name: -, Instruction: Turn right, Distance: 58.1 meters, Time: 41.9 seconds
Name: Fair Street, Instruction: Turn right onto Fair Street, Distance: 20.6 meters, Time: 14.8 seconds
Name: -, Instruction: Turn left, Distance: 25.4 meters, Time: 18.3 seconds
Name: -, Instruction: Turn right, Distance: 15.3 meters, Time: 11.0 seconds
Name: Tooley Street, Instruction: Turn right onto Tooley Street, Distance: 39.8 meters, Time: 28.7 seconds
Name: -, Instruction: Turn right, Distance: 11.1 meters, Time: 8.0 seconds
Name: Queen Elizabeth Street, Instruction: Turn right onto Queen Elizabeth Street, Distance: 496.0 meters, Time: 357.1 seconds
Name: -, Instruction: Turn left, Distance: 27.0 meters, Time: 19.4 seconds
Name: -, Instruction: Turn left, Distance: 10.3 meters, Time: 7.4 seconds
Name: -, Instruction: Keep right, Distance: 63.0 meters, Time: 45.4 seconds
Name: Cloister Walk, Instruction: Turn slight left onto Cloister Walk, Distance: 51.9 meters, Time: 37.4 seconds
Name: -, Instruction: Turn left, Distance: 103.1 meters, Time: 74.2 seconds
Name: -, Instruction: Turn left, Distance: 40.7 meters, Time: 29.3 seconds
Name: -, Instruction: Turn left, Distance: 51.1 meters, Time: 36.8 seconds
Name: -, Instruction: Keep right, Distance: 26.1 meters, Time: 18.8 seconds
Name: St. Katharine Docks, Instruction: Turn slight left onto St. Katharine Docks, Distance: 35.3 meters, Time: 25.4 seconds
Name: -, Instruction: Turn right, Distance: 237.2 meters, Time: 170.8 seconds
Name: East Smithfield, Instruction: Turn slight right onto East Smithfield, Distance: 29.2 meters, Time: 21.0 seconds
Name: The Highway, Instruction: Turn right onto The Highway, Distance: 486.1 meters, Time: 350.0 seconds
Name: -, Instruction: Turn left, Distance: 16.7 meters, Time: 12.0 seconds
Name: The Highway, Instruction: Turn right onto The Highway, Distance: 273.9 meters, Time: 197.2 seconds
Name: Dellow Street, Instruction: Turn left onto Dellow Street, Distance: 53.5 meters, Time: 38.5 seconds
Name: Lowood Street, Instruction: Turn right onto Lowood Street, Distance: 84.5 meters, Time: 60.8 seconds
Name: Solander Gardens, Instruction: Turn left onto Solander Gardens, Distance: 38.2 meters, Time: 27.5 seconds
Name: -, Instruction: Arrive at Solander Gardens, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
