Name: Fasanenstraße, Instruction: Head southeast on Fasanenstraße, Distance: 505.1 meters, Time: 363.7 seconds
Name: -, Instruction: Turn slight right, Distance: 46.9 meters, Time: 33.7 seconds
Name: -, Instruction: Keep left, Distance: 18.3 meters, Time: 13.1 seconds
Name: Münchner Straße, Instruction: Turn left onto Münchner Straße, Distance: 136.5 meters, Time: 98.3 seconds
Name: -, Instruction: Turn right, Distance: 20.0 meters, Time: 14.4 seconds
Name: Münchner Straße, Instruction: Turn left onto Münchner Straße, Distance: 16.2 meters, Time: 11.6 seconds
Name: -, Instruction: Turn left, Distance: 19.8 meters, Time: 14.3 seconds
Name: -, Instruction: Turn slight left, Distance: 202.2 meters, Time: 145.6 seconds
Name: -, Instruction: Turn slight right, Distance: 4.8 meters, Time: 3.4 seconds
Name: -, Instruction: Turn left, Distance: 15.9 meters, Time: 11.5 seconds
Name: -, Instruction: Turn left, Distance: 9.9 meters, Time: 7.2 seconds
Name: -, Instruction: Keep right, Distance: 121.7 meters, Time: 87.6 seconds
Name: Am Hachinger Bach, Instruction: Turn right onto Am Hachinger Bach, Distance: 179.2 meters, Time: 129.1 seconds
Name: -, Instruction: Turn left, Distance: 72.7 meters, Time: 52.4 seconds
Name: -, Instruction: Turn right, Distance: 36.7 meters, Time: 26.4 seconds
Name: -, Instruction: Arrive at your destination, on the right, Distance: 0.0 meters, Time: 0.0 seconds
