Name: شارع 8, Instruction: Head northwest on شارع 8, Distance: 90.6 meters, Time: 65.3 seconds
Name: -, Instruction: Enter the roundabout and take the 1st exit, Distance: 816.1 meters, Time: 587.6 seconds
Name: -, Instruction: Continue straight, Distance: 51.0 meters, Time: 36.7 seconds
Name: -, Instruction: Turn right, Distance: 30.8 meters, Time: 22.1 seconds
Name: -, Instruction: Turn left, Distance: 12.1 meters, Time: 8.7 seconds
Name: -, Instruction: Turn right, Distance: 98.2 meters, Time: 70.7 seconds
Name: امتداد محور السادات الجانبى, Instruction: Turn slight left onto امتداد محور السادات الجانبى, Distance: 90.0 meters, Time: 64.8 seconds
Name: -, Instruction: Turn right, Distance: 12.0 meters, Time: 8.6 seconds
Name: امتداد محور السادات, Instruction: Turn left onto امتداد محور السادات, Distance: 47.6 meters, Time: 34.3 seconds
Name: -, Instruction: Turn right, Distance: 371.9 meters, Time: 267.8 seconds
Name: -, Instruction: Turn right, Distance: 47.1 meters, Time: 33.9 seconds
Name: امتداد محور السادات, Instruction: Turn sharp left onto امتداد محور السادات, Distance: 10.6 meters, Time: 7.6 seconds
Name: -, Instruction: Keep left, Distance: 73.7 meters, Time: 53.0 seconds
Name: محور مصطفى كامل, Instruction: Turn sharp left onto محور مصطفى كامل, Distance: 27.4 meters, Time: 19.7 seconds
Name: -, Instruction: Turn right, Distance: 24.6 meters, Time: 17.7 seconds
Name: محور مصطفى كامل, Instruction: Turn right onto محور مصطفى كامل, Distance: 291.3 meters, Time: 209.8 seconds
Name: -, Instruction: Turn left, Distance: 14.1 meters, Time: 10.2 seconds
Name: محور مصطفى كامل الجانبى, Instruction: Turn right onto محور مصطفى كامل الجانبى, Distance: 26.5 meters, Time: 19.0 seconds
Name: -, Instruction: Keep left, Distance: 84.0 meters, Time: 60.5 seconds
Name: -, Instruction: Turn right, Distance: 12.0 meters, Time: 8.7 seconds
Name: -, Instruction: Turn left, Distance: 233.5 meters, Time: 168.1 seconds
Name: -, Instruction: Enter the roundabout and take the 2nd exit, Distance: 48.6 meters, Time: 35.0 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
