Name: Military Close, Instruction: Head north on Military Close, Distance: 40.9 meters, Time: 29.5 seconds
Name: -, Instruction: Turn left, Distance: 6.5 meters, Time: 4.6 seconds
Name: -, Instruction: Turn slight right, Distance: 324.5 meters, Time: 233.7 seconds
Name: -, Instruction: Turn right, Distance: 14.5 meters, Time: 10.5 seconds
Name: -, Instruction: Turn right, Distance: 16.1 meters, Time: 11.6 seconds
Name: -, Instruction: Turn left, Distance: 509.5 meters, Time: 366.8 seconds
Name: Tedbury Road, Instruction: Turn right onto Tedbury Road, Distance: 132.1 meters, Time: 95.1 seconds
Name: Regiment Street, Instruction: Turn left onto Regiment Street, Distance: 11.8 meters, Time: 8.5 seconds
Name: -, Instruction: Turn right, Distance: 6.1 meters, Time: 4.4 seconds
Name: -, Instruction: Turn right, Distance: 219.8 meters, Time: 158.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
