Name: St Clair Avenue East, Instruction: Head east on St Clair Avenue East, Distance: 11.9 meters, Time: 8.6 seconds
Name: -, Instruction: Turn left, Distance: 56.5 meters, Time: 40.7 seconds
Name: -, Instruction: Turn right, Distance: 570.6 meters, Time: 410.9 seconds
Name: -, Instruction: Keep left, Distance: 247.6 meters, Time: 178.3 seconds
Name: -, Instruction: Turn left, Distance: 18.5 meters, Time: 13.3 seconds
Name: -, Instruction: Turn right, Distance: 761.4 meters, Time: 548.2 seconds
Name: -, Instruction: Turn right, Distance: 234.6 meters, Time: 168.9 seconds
Name: -, Instruction: Turn sharp left, Distance: 110.2 meters, Time: 79.3 seconds
Name: Pinebrook Avenue, Instruction: Turn right onto Pinebrook Avenue, Distance: 156.9 meters, Time: 113.0 seconds
Name: Bartley Drive, Instruction: Turn left onto Bartley Drive, Distance: 81.1 meters, Time: 58.4 seconds
Name: Tisdale Avenue, Instruction: Turn right onto Tisdale Avenue, Distance: 8.4 meters, Time: 6.0 seconds
Name: -, Instruction: Turn left, Distance: 25.9 meters, Time: 18.6 seconds
Name: -, Instruction: Turn right, Distance: 53.6 meters, Time: 38.6 seconds
Name: Spruce Pines Crescent, Instruction: Turn left onto Spruce Pines Crescent, Distance: 25.3 meters, Time: 18.2 seconds
Name: -, Instruction: Turn right, Distance: 1.5 meters, Time: 1.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
