Name: Rue de Clamart, Instruction: Head northwest on Rue de Clamart, Distance: 103.7 meters, Time: 74.7 seconds
Name: Rue Victor Griffuelhes, Instruction: Turn right onto Rue Victor Griffuelhes, Distance: 20.3 meters, Time: 14.6 seconds
Name: Rue du Vieux Pont de Sèvres, Instruction: Turn sharp left onto Rue du Vieux Pont de Sèvres, Distance: 13.4 meters, Time: 9.7 seconds
Name: Avenue Desfeux, Instruction: Turn right onto Avenue Desfeux, Distance: 43.9 meters, Time: 31.6 seconds
Name: -, Instruction: Turn left, Distance: 47.3 meters, Time: 34.1 seconds
Name: Rue Liot, Instruction: Turn right onto Rue Liot, Distance: 125.7 meters, Time: 90.5 seconds
Name: Avenue du Général Leclerc, D 910, Instruction: Turn right onto Avenue du Général Leclerc, D 910, Distance: 13.6 meters, Time: 9.8 seconds
Name: -, Instruction: Turn left, Distance: 27.0 meters, Time: 19.4 seconds
Name: -, Instruction: Turn left, Distance: 29.1 meters, Time: 21.0 seconds
Name: -, Instruction: Turn right, Distance: 77.5 meters, Time: 55.8 seconds
Name: -, Instruction: Turn left, Distance: 5.4 meters, Time: 3.9 seconds
Name: Rue Paul Bert, Instruction: Turn right onto Rue Paul Bert, Distance: 4.5 meters, Time: 3.2 seconds
Name: -, Instruction: Turn left, Distance: 4.1 meters, Time: 2.9 seconds
Name: -, Instruction: Turn right, Distance: 71.6 meters, Time: 51.5 seconds
Name: -, Instruction: Turn left, Distance: 2.1 meters, Time: 1.5 seconds
Name: -, Instruction: Turn slight left, Distance: 150.9 meters, Time: 108.7 seconds
Name: -, Instruction: Turn slight left, Distance: 1.4 meters, Time: 1.0 seconds
Name: -, Instruction: Turn right, Distance: 5.1 meters, Time: 3.6 seconds
Name: Rue de Billancourt, Instruction: Turn left onto Rue de Billancourt, Distance: 3.6 meters, Time: 2.6 seconds
Name: -, Instruction: Turn right, Distance: 19.0 meters, Time: 13.7 seconds
Name: -, Instruction: Turn right, Distance: 24.9 meters, Time: 18.0 seconds
Name: Avenue du Maréchal Juin, Instruction: Turn slight left onto Avenue du Maréchal Juin, Distance: 3.3 meters, Time: 2.4 seconds
Name: Avenue du Maréchal Juin, Instruction: Continue straight onto Avenue du Maréchal Juin, Distance: 71.7 meters, Time: 51.6 seconds
Name: Avenue du Maréchal Juin, Instruction: Continue straight onto Avenue du Maréchal Juin, Distance: 194.3 meters, Time: 139.9 seconds
Name: Rue de Silly, Instruction: Turn right onto Rue de Silly, Distance: 5.1 meters, Time: 3.7 seconds
Name: Avenue du Maréchal Juin, Instruction: Turn left onto Avenue du Maréchal Juin, Distance: 217.3 meters, Time: 156.5 seconds
Name: Avenue du Maréchal Juin, Instruction: Turn slight left onto Avenue du Maréchal Juin, Distance: 4.7 meters, Time: 3.4 seconds
Name: Avenue du Maréchal Juin, Instruction: Turn slight right onto Avenue du Maréchal Juin, Distance: 209.5 meters, Time: 150.9 seconds
Name: Mail du Maréchal Juin, Instruction: Keep left onto Mail du Maréchal Juin, Distance: 6.0 meters, Time: 4.3 seconds
Name: -, Instruction: Turn right, Distance: 21.3 meters, Time: 15.3 seconds
Name: Quai Alphonse Le Gallo, Instruction: Turn right onto Quai Alphonse Le Gallo, Distance: 252.2 meters, Time: 181.6 seconds
Name: -, Instruction: Turn right, Distance: 13.4 meters, Time: 9.6 seconds
Name: Quai Alphonse Le Gallo, D 1, Instruction: Turn left onto Quai Alphonse Le Gallo, D 1, Distance: 43.7 meters, Time: 31.4 seconds
Name: -, Instruction: Keep right, Distance: 42.7 meters, Time: 30.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
