Name: Sheridan Avenue, Instruction: Head south on Sheridan Avenue, Distance: 39.1 meters, Time: 28.1 seconds
Name: -, Instruction: Turn right, Distance: 3.9 meters, Time: 2.8 seconds
Name: -, Instruction: Turn slight left, Distance: 2.3 meters, Time: 1.6 seconds
Name: -, Instruction: Keep left, Distance: 3.9 meters, Time: 2.8 seconds
Name: Muir Avenue, Instruction: Turn right onto Muir Avenue, Distance: 102.2 meters, Time: 73.6 seconds
Name: -, Instruction: Turn left, Distance: 4.3 meters, Time: 3.1 seconds
Name: -, Instruction: Turn right, Distance: 46.9 meters, Time: 33.7 seconds
Name: -, Instruction: Turn left, Distance: 175.7 meters, Time: 126.5 seconds
Name: -, Instruction: Turn slight right, Distance: 88.8 meters, Time: 63.9 seconds
Name: -, Instruction: Keep left, Distance: 11.9 meters, Time: 8.6 seconds
Name: -, Instruction: Turn slight left, Distance: 90.6 meters, Time: 65.2 seconds
Name: -, Instruction: Keep left, Distance: 103.6 meters, Time: 74.6 seconds
Name: -, Instruction: Turn left, Distance: 20.4 meters, Time: 14.7 seconds
Name: -, Instruction: Turn left, Distance: 2.2 meters, Time: 1.6 seconds
Name: -, Instruction: Turn right, Distance: 36.9 meters, Time: 26.6 seconds
Name: -, Instruction: Keep left, Distance: 11.5 meters, Time: 8.3 seconds
Name: -, Instruction: Keep left, Distance: 203.1 meters, Time: 146.2 seconds
Name: -, Instruction: Turn left, Distance: 18.1 meters, Time: 13.1 seconds
Name: -, Instruction: Turn right, Distance: 252.7 meters, Time: 182.0 seconds
Name: -, Instruction: Turn right, Distance: 4.5 meters, Time: 3.3 seconds
Name: Sorauren Avenue, Instruction: Turn left onto Sorauren Avenue, Distance: 4.7 meters, Time: 3.4 seconds
Name: Columbus Avenue, Instruction: Turn right onto Columbus Avenue, Distance: 48.5 meters, Time: 34.9 seconds
Name: -, Instruction: Turn left, Distance: 4.1 meters, Time: 2.9 seconds
Name: -, Instruction: Turn right, Distance: 78.8 meters, Time: 56.8 seconds
Name: -, Instruction: Keep left, Distance: 139.8 meters, Time: 100.7 seconds
Name: Parkway Avenue, Instruction: Turn left onto Parkway Avenue, Distance: 68.8 meters, Time: 49.6 seconds
Name: Parkway Avenue, Instruction: Keep left onto Parkway Avenue, Distance: 12.9 meters, Time: 9.3 seconds
Name: -, Instruction: Turn right, Distance: 70.2 meters, Time: 50.5 seconds
Name: -, Instruction: Turn left, Distance: 208.1 meters, Time: 149.9 seconds
Name: Westminster Avenue, Instruction: Turn right onto Westminster Avenue, Distance: 39.9 meters, Time: 28.7 seconds
Name: -, Instruction: Turn left, Distance: 0.7 meters, Time: 0.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
