Name: Rüdesheimer Straße, Instruction: Head northeast on Rüdesheimer Straße, Distance: 280.4 meters, Time: 201.9 seconds
Name: Tübinger Straße, Instruction: Turn left onto Tübinger Straße, Distance: 142.5 meters, Time: 102.6 seconds
Name: -, Instruction: Turn right, Distance: 26.8 meters, Time: 19.3 seconds
Name: -, Instruction: Turn left, Distance: 3.3 meters, Time: 2.4 seconds
Name: -, Instruction: Turn right, Distance: 9.0 meters, Time: 6.5 seconds
Name: -, Instruction: Turn left, Distance: 31.5 meters, Time: 22.7 seconds
Name: -, Instruction: Turn left, Distance: 5.2 meters, Time: 3.7 seconds
Name: -, Instruction: Turn right, Distance: 48.2 meters, Time: 34.7 seconds
Name: -, Instruction: Turn left, Distance: 65.8 meters, Time: 47.4 seconds
Name: -, Instruction: Turn left, Distance: 10.6 meters, Time: 7.6 seconds
Name: Hauzenberger Straße, Instruction: Turn right onto Hauzenberger Straße, Distance: 188.8 meters, Time: 135.9 seconds
Name: -, Instruction: Turn left, Distance: 6.6 meters, Time: 4.8 seconds
Name: -, Instruction: Turn right, Distance: 78.8 meters, Time: 56.8 seconds
Name: -, Instruction: Turn slight left, Distance: 312.9 meters, Time: 225.3 seconds
Name: -, Instruction: Turn slight right, Distance: 37.7 meters, Time: 27.1 seconds
Name: -, Instruction: Turn right, Distance: 8.2 meters, Time: 5.9 seconds
Name: Schäufeleinstraße, Instruction: Turn left onto Schäufeleinstraße, Distance: 143.0 meters, Time: 102.9 seconds
Name: -, Instruction: Turn right, Distance: 4.0 meters, Time: 2.9 seconds
Name: -, Instruction: Turn left, Distance: 108.9 meters, Time: 78.4 seconds
Name: -, Instruction: Turn right, Distance: 56.7 meters, Time: 40.8 seconds
Name: -, Instruction: Turn right, Distance: 45.9 meters, Time: 33.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
