Name: High Park Avenue, Instruction: Head north on High Park Avenue, Distance: 54.0 meters, Time: 38.9 seconds
Name: -, Instruction: Turn right, Distance: 127.8 meters, Time: 92.0 seconds
Name: -, Instruction: Keep left, Distance: 14.5 meters, Time: 10.5 seconds
Name: -, Instruction: Turn slight left, Distance: 45.1 meters, Time: 32.5 seconds
Name: -, Instruction: Keep left, Distance: 13.5 meters, Time: 9.7 seconds
Name: -, Instruction: Turn slight left, Distance: 61.3 meters, Time: 44.1 seconds
Name: -, Instruction: Keep left, Distance: 89.6 meters, Time: 64.5 seconds
Name: -, Instruction: Keep left, Distance: 14.7 meters, Time: 10.6 seconds
Name: -, Instruction: Turn slight left, Distance: 89.1 meters, Time: 64.2 seconds
Name: -, Instruction: Keep left, Distance: 25.0 meters, Time: 18.0 seconds
Name: -, Instruction: Turn left, Distance: 407.2 meters, Time: 293.2 seconds
Name: -, Instruction: Keep left, Distance: 21.5 meters, Time: 15.5 seconds
Name: -, Instruction: Turn slight left, Distance: 22.8 meters, Time: 16.4 seconds
Name: -, Instruction: Turn right, Distance: 139.9 meters, Time: 100.7 seconds
Name: -, Instruction: Turn left, Distance: 255.0 meters, Time: 183.6 seconds
Name: -, Instruction: Keep right, Distance: 16.3 meters, Time: 11.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
