Name: Madeira Lane, Instruction: Head east on Madeira Lane, Distance: 35.1 meters, Time: 25.3 seconds
Name: -, Instruction: Turn right, Distance: 65.9 meters, Time: 47.5 seconds
Name: -, Instruction: Turn left, Distance: 40.4 meters, Time: 29.1 seconds
Name: -, Instruction: Turn right, Distance: 33.4 meters, Time: 24.1 seconds
Name: -, Instruction: Turn right, Distance: 21.0 meters, Time: 15.1 seconds
Name: -, Instruction: Turn left, Distance: 1.0 meters, Time: 0.7 seconds
Name: -, Instruction: Keep right, Distance: 286.8 meters, Time: 206.5 seconds
Name: -, Instruction: Turn left, Distance: 15.5 meters, Time: 11.2 seconds
Name: -, Instruction: Turn left, Distance: 34.9 meters, Time: 25.1 seconds
Name: -, Instruction: Turn left, Distance: 14.4 meters, Time: 10.3 seconds
Name: -, Instruction: Turn right, Distance: 508.6 meters, Time: 366.2 seconds
Name: -, Instruction: Turn right, Distance: 29.9 meters, Time: 21.5 seconds
Name: -, Instruction: Turn left, Distance: 20.4 meters, Time: 14.7 seconds
Name: -, Instruction: Turn sharp right, Distance: 52.7 meters, Time: 38.0 seconds
Name: -, Instruction: Turn sharp right, Distance: 154.1 meters, Time: 111.0 seconds
Name: -, Instruction: Keep left, Distance: 24.1 meters, Time: 17.4 seconds
Name: -, Instruction: Turn right, Distance: 46.4 meters, Time: 33.4 seconds
Name: -, Instruction: Turn right, Distance: 93.4 meters, Time: 67.2 seconds
Name: Mount Eden Road, Instruction: Turn left onto Mount Eden Road, Distance: 122.0 meters, Time: 87.8 seconds
Name: Bellevue Road, Instruction: Turn right onto Bellevue Road, Distance: 222.8 meters, Time: 160.4 seconds
Name: Esplanade Road, Instruction: Turn left onto Esplanade Road, Distance: 143.2 meters, Time: 103.1 seconds
Name: -, Instruction: Arrive at Esplanade Road, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
