Name: Spinella Drive, Instruction: Head north on Spinella Drive, Distance: 458.7 meters, Time: 330.2 seconds
Name: -, Instruction: Turn left, Distance: 5.8 meters, Time: 4.2 seconds
Name: -, Instruction: Turn right, Distance: 187.7 meters, Time: 135.2 seconds
Name: -, Instruction: Keep right, Distance: 283.2 meters, Time: 203.9 seconds
Name: -, Instruction: Keep left, Distance: 94.7 meters, Time: 68.2 seconds
Name: -, Instruction: Turn sharp right, Distance: 31.0 meters, Time: 22.3 seconds
Name: -, Instruction: Turn slight right, Distance: 9.4 meters, Time: 6.8 seconds
Name: -, Instruction: Turn left, Distance: 213.1 meters, Time: 153.4 seconds
Name: -, Instruction: Keep left, Distance: 15.8 meters, Time: 11.4 seconds
Name: -, Instruction: Turn slight left, Distance: 426.5 meters, Time: 307.1 seconds
Name: -, Instruction: Turn right, Distance: 154.1 meters, Time: 111.0 seconds
Name: -, Instruction: Turn left, Distance: 12.6 meters, Time: 9.1 seconds
Name: -, Instruction: Turn right, Distance: 33.0 meters, Time: 23.7 seconds
Name: -, Instruction: Turn left, Distance: 125.5 meters, Time: 90.4 seconds
Name: -, Instruction: Turn right, Distance: 10.0 meters, Time: 7.2 seconds
Name: -, Instruction: Turn right, Distance: 74.1 meters, Time: 53.4 seconds
Name: -, Instruction: Turn right, Distance: 2.0 meters, Time: 1.4 seconds
Name: -, Instruction: Turn left, Distance: 2.2 meters, Time: 1.6 seconds
Name: -, Instruction: Turn left, Distance: 4.1 meters, Time: 3.0 seconds
Name: Tesla Place, Instruction: Turn slight right onto Tesla Place, Distance: 72.0 meters, Time: 51.8 seconds
Name: -, Instruction: Turn right, Distance: 3.0 meters, Time: 2.2 seconds
Name: -, Instruction: Turn left, Distance: 167.1 meters, Time: 120.3 seconds
Name: -, Instruction: Keep left, Distance: 6.2 meters, Time: 4.4 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
