Name: شارع الكامل, Instruction: Head southwest on شارع الكامل, Distance: 287.1 meters, Time: 206.7 seconds
Name: شارع سراي الزعفران, Instruction: Turn slight right onto شارع سراي الزعفران, Distance: 68.8 meters, Time: 49.5 seconds
Name: شارع سراي الزعفران, Instruction: Turn sharp left onto شارع سراي الزعفران, Distance: 495.1 meters, Time: 356.5 seconds
Name: شارع الخليفه المأمون, Instruction: Turn left onto شارع الخليفه المأمون, Distance: 26.4 meters, Time: 19.0 seconds
Name: -, Instruction: Turn right, Distance: 45.9 meters, Time: 33.0 seconds
Name: -, Instruction: Turn left, Distance: 208.2 meters, Time: 149.9 seconds
Name: -, Instruction: Turn left, Distance: 29.2 meters, Time: 21.0 seconds
Name: شارع الخليفه المأمون, Instruction: Turn right onto شارع الخليفه المأمون, Distance: 178.4 meters, Time: 128.5 seconds
Name: -, Instruction: Turn left, Distance: 22.5 meters, Time: 16.2 seconds
Name: شارع الخليفه المأمون, Instruction: Turn right onto شارع الخليفه المأمون, Distance: 24.3 meters, Time: 17.5 seconds
Name: -, Instruction: Turn left, Distance: 37.2 meters, Time: 26.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
