Name: Hepburn Street, Instruction: Head south on Hepburn Street, Distance: 132.0 meters, Time: 95.1 seconds
Name: -, Instruction: Keep left, Distance: 15.6 meters, Time: 11.2 seconds
Name: -, Instruction: Turn right, Distance: 108.5 meters, Time: 78.1 seconds
Name: -, Instruction: Turn left, Distance: 96.8 meters, Time: 69.7 seconds
Name: Vinegar Lane, Instruction: Turn right onto Vinegar Lane, Distance: 7.7 meters, Time: 5.5 seconds
Name: Pollen Street, Instruction: Turn left onto Pollen Street, Distance: 29.5 meters, Time: 21.2 seconds
Name: Pollen Street, Instruction: Keep right onto Pollen Street, Distance: 13.9 meters, Time: 10.0 seconds
Name: -, Instruction: Turn right, Distance: 5.2 meters, Time: 3.8 seconds
Name: -, Instruction: Turn left, Distance: 94.8 meters, Time: 68.3 seconds
Name: MacKelvie Street, Instruction: Turn left onto MacKelvie Street, Distance: 17.5 meters, Time: 12.6 seconds
Name: -, Instruction: Turn right, Distance: 502.2 meters, Time: 361.6 seconds
Name: Beaconsfield Street, Instruction: Turn left onto Beaconsfield Street, Distance: 253.7 meters, Time: 182.7 seconds
Name: Great North Road, Instruction: Turn left onto Great North Road, Distance: 4.1 meters, Time: 3.0 seconds
Name: -, Instruction: Turn sharp right, Distance: 14.7 meters, Time: 10.6 seconds
Name: -, Instruction: Turn right, Distance: 3.5 meters, Time: 2.5 seconds
Name: -, Instruction: Keep left, Distance: 70.8 meters, Time: 51.0 seconds
Name: -, Instruction: Turn left, Distance: 149.3 meters, Time: 107.5 seconds
Name: -, Instruction: Turn right, Distance: 300.2 meters, Time: 216.2 seconds
Name: -, Instruction: Turn left, Distance: 33.8 meters, Time: 24.4 seconds
Name: -, Instruction: Turn sharp right, Distance: 15.2 meters, Time: 10.9 seconds
Name: -, Instruction: Turn left, Distance: 9.2 meters, Time: 6.6 seconds
Name: New Bond Street, Instruction: Turn right onto New Bond Street, Distance: 1.3 meters, Time: 0.9 seconds
Name: -, Instruction: Turn left, Distance: 8.9 meters, Time: 6.4 seconds
Name: -, Instruction: Turn right, Distance: 34.0 meters, Time: 24.4 seconds
Name: -, Instruction: Turn left, Distance: 5.0 meters, Time: 3.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
