Name: Calzada de Guadalupe, Instruction: Head north on Calzada de Guadalupe, Distance: 125.4 meters, Time: 90.3 seconds
Name: -, Instruction: Keep left, Distance: 145.7 meters, Time: 104.9 seconds
Name: -, Instruction: Turn left, Distance: 72.5 meters, Time: 52.2 seconds
Name: -, Instruction: Turn right, Distance: 48.3 meters, Time: 34.8 seconds
Name: -, Instruction: Turn left, Distance: 92.4 meters, Time: 66.5 seconds
Name: Calzada Acoxpa, Instruction: Turn right onto Calzada Acoxpa, Distance: 54.8 meters, Time: 39.5 seconds
Name: -, Instruction: Turn right, Distance: 11.3 meters, Time: 8.1 seconds
Name: -, Instruction: Turn left, Distance: 70.9 meters, Time: 51.1 seconds
Name: -, Instruction: Turn sharp left, Distance: 32.2 meters, Time: 23.2 seconds
Name: Calzada Acoxpa, Instruction: Turn right onto Calzada Acoxpa, Distance: 35.4 meters, Time: 25.5 seconds
Name: Calle Federación Mexicana de Futbol Asociación, Instruction: Turn left onto Calle Federación Mexicana de Futbol Asociación, Distance: 19.9 meters, Time: 14.4 seconds
Name: Calzada Acoxpa, Instruction: Turn right onto Calzada Acoxpa, Distance: 66.9 meters, Time: 48.1 seconds
Name: Calle Club Necaxa, Instruction: Turn left onto Calle Club Necaxa, Distance: 104.4 meters, Time: 75.2 seconds
Name: Calle Club Deportivo Universidad, Instruction: Turn right onto Calle Club Deportivo Universidad, Distance: 123.2 meters, Time: 88.7 seconds
Name: Calle Club América, Instruction: Turn left onto Calle Club América, Distance: 37.4 meters, Time: 26.9 seconds
Name: Calle Emiliano Zapata, Instruction: Turn right onto Calle Emiliano Zapata, Distance: 62.8 meters, Time: 45.2 seconds
Name: -, Instruction: Turn slight left, Distance: 17.4 meters, Time: 12.5 seconds
Name: -, Instruction: Turn slight right, Distance: 64.5 meters, Time: 46.5 seconds
Name: -, Instruction: Turn sharp left, Distance: 6.9 meters, Time: 5.0 seconds
Name: -, Instruction: Turn right, Distance: 50.6 meters, Time: 36.5 seconds
Name: -, Instruction: Turn left, Distance: 175.1 meters, Time: 126.1 seconds
Name: Callejón San Ignacio, Instruction: Turn slight left onto Callejón San Ignacio, Distance: 51.1 meters, Time: 36.8 seconds
Name: Calle San Juan de Dios, Instruction: Turn right onto Calle San Juan de Dios, Distance: 21.8 meters, Time: 15.7 seconds
Name: Calle San Juan de Dios, Instruction: Turn slight right onto Calle San Juan de Dios, Distance: 232.9 meters, Time: 167.7 seconds
Name: Calle Forestal, Instruction: Turn left onto Calle Forestal, Distance: 218.7 meters, Time: 157.4 seconds
Name: Calle Arenal, Instruction: Turn right onto Calle Arenal, Distance: 137.9 meters, Time: 99.3 seconds
Name: Viaducto Tlalpan, Instruction: Turn left onto Viaducto Tlalpan, Distance: 387.5 meters, Time: 279.0 seconds
Name: -, Instruction: Arrive at Viaducto Tlalpan, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
