Name: Patricia Street, Instruction: Head north on Patricia Street, Distance: 331.1 meters, Time: 238.4 seconds
Name: Victoria Lane, Instruction: Turn right onto Victoria Lane, Distance: 211.5 meters, Time: 152.3 seconds
Name: Gammell Street, Instruction: Turn left onto Gammell Street, Distance: 35.4 meters, Time: 25.5 seconds
Name: -, Instruction: Turn right, Distance: 314.7 meters, Time: 226.6 seconds
Name: -, Instruction: Turn slight right, Distance: 5.8 meters, Time: 4.2 seconds
Name: Betty Cuthbert Avenue, Instruction: Turn left onto Betty Cuthbert Avenue, Distance: 7.0 meters, Time: 5.0 seconds
Name: River Road, Instruction: Turn right onto River Road, Distance: 6.4 meters, Time: 4.6 seconds
Name: Betty Cuthbert Avenue, Instruction: Turn left onto Betty Cuthbert Avenue, Distance: 11.0 meters, Time: 7.9 seconds
Name: -, Instruction: Turn right, Distance: 8.7 meters, Time: 6.3 seconds
Name: Betty Cuthbert Avenue, Instruction: Turn left onto Betty Cuthbert Avenue, Distance: 133.8 meters, Time: 96.3 seconds
Name: -, Instruction: Arrive at Betty Cuthbert Avenue, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
