Name: Nereid Road, Instruction: Head southeast on Nereid Road, Distance: 8.3 meters, Time: 6.0 seconds
Name: -, Instruction: Turn left, Distance: 351.6 meters, Time: 253.2 seconds
Name: -, Instruction: Turn right, Distance: 0.9 meters, Time: 0.7 seconds
Name: -, Instruction: Turn left, Distance: 220.7 meters, Time: 158.9 seconds
Name: Goolwa Crescent, Instruction: Turn left onto Goolwa Crescent, Distance: 8.2 meters, Time: 5.9 seconds
Name: Hindmarsh Street, Instruction: Turn left onto Hindmarsh Street, Distance: 10.4 meters, Time: 7.5 seconds
Name: Yilki Close, Instruction: Turn right onto Yilki Close, Distance: 9.1 meters, Time: 6.6 seconds
Name: -, Instruction: Turn right, Distance: 597.6 meters, Time: 430.2 seconds
Name: -, Instruction: Turn left, Distance: 91.4 meters, Time: 65.8 seconds
Name: -, Instruction: Turn left, Distance: 327.4 meters, Time: 235.7 seconds
Name: Bellatrix Street, Instruction: Turn sharp right onto Bellatrix Street, Distance: 28.0 meters, Time: 20.2 seconds
Name: -, Instruction: Turn left, Distance: 403.1 meters, Time: 290.2 seconds
Name: Hydrus Street, Instruction: Turn right onto Hydrus Street, Distance: 8.0 meters, Time: 5.7 seconds
Name: Vincent Road, Instruction: Turn right onto Vincent Road, Distance: 6.2 meters, Time: 4.5 seconds
Name: -, Instruction: Turn left, Distance: 50.0 meters, Time: 36.0 seconds
Name: Interference Fire Trail, Instruction: Continue straight onto Interference Fire Trail, Distance: 110.2 meters, Time: 79.3 seconds
Name: -, Instruction: Turn sharp right, Distance: 14.5 meters, Time: 10.4 seconds
Name: -, Instruction: Turn left, Distance: 30.3 meters, Time: 21.8 seconds
Name: -, Instruction: Turn right, Distance: 17.9 meters, Time: 12.9 seconds
Name: -, Instruction: Keep left, Distance: 33.7 meters, Time: 24.3 seconds
Name: -, Instruction: Turn sharp right, Distance: 33.9 meters, Time: 24.4 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
