Name: Midson Road, Instruction: Head southeast on Midson Road, Distance: 132.8 meters, Time: 95.6 seconds
Name: Wyralla Avenue, Instruction: Turn right onto Wyralla Avenue, Distance: 11.7 meters, Time: 8.4 seconds
Name: -, Instruction: Turn left, Distance: 13.2 meters, Time: 9.5 seconds
Name: -, Instruction: Turn slight right, Distance: 530.5 meters, Time: 381.9 seconds
Name: -, Instruction: Turn left, Distance: 17.8 meters, Time: 12.8 seconds
Name: -, Instruction: Turn right, Distance: 37.6 meters, Time: 27.1 seconds
Name: -, Instruction: Turn left, Distance: 258.9 meters, Time: 186.4 seconds
Name: -, Instruction: Turn right, Distance: 19.9 meters, Time: 14.3 seconds
Name: -, Instruction: Turn right, Distance: 276.5 meters, Time: 199.1 seconds
Name: Lakeside Road, Instruction: Turn left onto Lakeside Road, Distance: 150.1 meters, Time: 108.1 seconds
Name: Lakeside Road, Instruction: Continue straight onto Lakeside Road, Distance: 21.3 meters, Time: 15.3 seconds
Name: -, Instruction: Arrive at Lakeside Road, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
