Name: Main Street, Instruction: Head south on Main Street, Distance: 5.3 meters, Time: 3.8 seconds
Name: -, Instruction: Turn left, Distance: 155.7 meters, Time: 112.1 seconds
Name: -, Instruction: Turn left, Distance: 18.3 meters, Time: 13.2 seconds
Name: -, Instruction: Turn slight right, Distance: 145.0 meters, Time: 104.4 seconds
Name: -, Instruction: Turn left, Distance: 109.5 meters, Time: 78.8 seconds
Name: -, Instruction: Turn right, Distance: 93.4 meters, Time: 67.2 seconds
Name: -, Instruction: Turn right, Distance: 92.6 meters, Time: 66.7 seconds
Name: -, Instruction: Turn right, Distance: 46.4 meters, Time: 33.4 seconds
Name: -, Instruction: Turn left, Distance: 10.4 meters, Time: 7.5 seconds
Name: -, Instruction: Turn right, Distance: 75.2 meters, Time: 54.1 seconds
Name: -, Instruction: Turn right, Distance: 84.1 meters, Time: 60.6 seconds
Name: -, Instruction: Turn left, Distance: 66.2 meters, Time: 47.7 seconds
Name: -, Instruction: Turn left, Distance: 193.7 meters, Time: 139.4 seconds
Name: -, Instruction: Keep left, Distance: 3.8 meters, Time: 2.7 seconds
Name: Kawau Island Avenue, Instruction: Turn right onto Kawau Island Avenue, Distance: 109.9 meters, Time: 79.1 seconds
Name: Manly Park Avenue, Instruction: Turn left onto Manly Park Avenue, Distance: 122.9 meters, Time: 88.5 seconds
Name: The Circle, Instruction: Turn right onto The Circle, Distance: 134.6 meters, Time: 96.9 seconds
Name: -, Instruction: Turn left, Distance: 106.2 meters, Time: 76.5 seconds
Name: -, Instruction: Turn left, Distance: 156.0 meters, Time: 112.3 seconds
Name: -, Instruction: Keep right, Distance: 15.0 meters, Time: 10.8 seconds
Name: -, Instruction: Turn right, Distance: 128.0 meters, Time: 92.1 seconds
Name: -, Instruction: Turn left, Distance: 581.1 meters, Time: 418.4 seconds
Name: -, Instruction: Turn sharp left, Distance: 10.2 meters, Time: 7.3 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
