Name: Wiesbachhornstraße, Instruction: Head southwest on Wiesbachhornstraße, Distance: 220.6 meters, Time: 158.9 seconds
Name: Zehntfeldstraße, Instruction: Turn right onto Zehntfeldstraße, Distance: 863.5 meters, Time: 621.7 seconds
Name: Zehntfeldstraße, Instruction: Keep right onto Zehntfeldstraße, Distance: 99.1 meters, Time: 71.3 seconds
Name: -, Instruction: Turn slight right, Distance: 265.4 meters, Time: 191.1 seconds
Name: -, Instruction: Turn left, Distance: 32.0 meters, Time: 23.1 seconds
Name: -, Instruction: Turn right, Distance: 15.3 meters, Time: 11.0 seconds
Name: Feichtstraße, Instruction: Turn left onto Feichtstraße, Distance: 16.5 meters, Time: 11.9 seconds
Name: -, Instruction: Turn right, Distance: 58.0 meters, Time: 41.8 seconds
Name: -, Instruction: Turn left, Distance: 68.7 meters, Time: 49.5 seconds
Name: -, Instruction: Turn slight left, Distance: 7.6 meters, Time: 5.5 seconds
Name: -, Instruction: Turn right, Distance: 22.6 meters, Time: 16.3 seconds
Name: -, Instruction: Turn right, Distance: 41.5 meters, Time: 29.9 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
