Name: Colesburg Street, Instruction: Head south on Colesburg Street, Distance: 176.5 meters, Time: 127.1 seconds
Name: -, Instruction: Turn left, Distance: 110.3 meters, Time: 79.4 seconds
Name: Texel Street, Instruction: Turn sharp right onto Texel Street, Distance: 6.1 meters, Time: 4.4 seconds
Name: Elliot Street, Instruction: Turn left onto Elliot Street, Distance: 71.2 meters, Time: 51.3 seconds
Name: -, Instruction: Turn right, Distance: 254.9 meters, Time: 183.5 seconds
Name: Cathcart Street, Instruction: Turn left onto Cathcart Street, Distance: 12.3 meters, Time: 8.8 seconds
Name: Jan van Riebeeck Avenue, Instruction: Turn right onto Jan van Riebeeck Avenue, Distance: 21.4 meters, Time: 15.4 seconds
Name: Jan van Riebeeck Avenue, Instruction: Keep left onto Jan van Riebeeck Avenue, Distance: 23.9 meters, Time: 17.2 seconds
Name: -, Instruction: Turn left, Distance: 47.1 meters, Time: 33.9 seconds
Name: -, Instruction: Turn left, Distance: 852.7 meters, Time: 613.9 seconds
Name: -, Instruction: Turn slight right, Distance: 427.3 meters, Time: 307.6 seconds
Name: -, Instruction: Turn left, Distance: 29.3 meters, Time: 21.1 seconds
Name: -, Instruction: Turn right, Distance: 34.0 meters, Time: 24.5 seconds
Name: -, Instruction: Turn slight left, Distance: 164.5 meters, Time: 118.4 seconds
Name: -, Instruction: Turn left, Distance: 55.1 meters, Time: 39.7 seconds
Name: 15th Avenue, Instruction: Turn left onto 15th Avenue, Distance: 8.6 meters, Time: 6.2 seconds
Name: -, Instruction: Turn right, Distance: 93.5 meters, Time: 67.3 seconds
Name: -, Instruction: Turn left, Distance: 14.0 meters, Time: 10.1 seconds
Name: Bowler Street, Instruction: Turn sharp right onto Bowler Street, Distance: 182.2 meters, Time: 131.2 seconds
Name: -, Instruction: Continue straight, Distance: 10.7 meters, Time: 7.7 seconds
Name: -, Instruction: Keep left, Distance: 211.5 meters, Time: 152.3 seconds
Name: Nazareth House Close, Instruction: Turn left onto Nazareth House Close, Distance: 77.5 meters, Time: 55.8 seconds
Name: -, Instruction: Arrive at Nazareth House Close, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
