Name: Catterick Close, Instruction: Head southeast on Catterick Close, Distance: 9.4 meters, Time: 6.8 seconds
Name: -, Instruction: Turn left, Distance: 85.1 meters, Time: 61.3 seconds
Name: -, Instruction: Turn left, Distance: 71.7 meters, Time: 51.6 seconds
Name: -, Instruction: Keep right, Distance: 28.2 meters, Time: 20.3 seconds
Name: -, Instruction: Turn slight right, Distance: 5.6 meters, Time: 4.0 seconds
Name: -, Instruction: Turn slight right, Distance: 17.9 meters, Time: 12.9 seconds
Name: -, Instruction: Turn right, Distance: 52.7 meters, Time: 37.9 seconds
Name: -, Instruction: Keep left, Distance: 109.9 meters, Time: 79.1 seconds
Name: -, Instruction: Turn left, Distance: 65.7 meters, Time: 47.3 seconds
Name: Pegasus Way, Instruction: Turn sharp left onto Pegasus Way, Distance: 17.4 meters, Time: 12.5 seconds
Name: -, Instruction: Turn right, Distance: 21.7 meters, Time: 15.6 seconds
Name: -, Instruction: Turn right, Distance: 116.5 meters, Time: 83.8 seconds
Name: Pinkham Way, Instruction: Turn left onto Pinkham Way, Distance: 387.5 meters, Time: 279.0 seconds
Name: -, Instruction: Turn right, Distance: 11.2 meters, Time: 8.1 seconds
Name: -, Instruction: Turn right, Distance: 31.6 meters, Time: 22.8 seconds
Name: Pinkham Way, Instruction: Turn left onto Pinkham Way, Distance: 2.0 meters, Time: 1.4 seconds
Name: Pinkham Way, Instruction: Continue straight onto Pinkham Way, Distance: 235.9 meters, Time: 169.9 seconds
Name: -, Instruction: Keep left, Distance: 8.0 meters, Time: 5.7 seconds
Name: -, Instruction: Turn slight right, Distance: 2.4 meters, Time: 1.8 seconds
Name: -, Instruction: Keep left, Distance: 6.3 meters, Time: 4.6 seconds
Name: Cline Road, Instruction: Turn right onto Cline Road, Distance: 15.6 meters, Time: 11.2 seconds
Name: The Drive, Instruction: Turn left onto The Drive, Distance: 253.5 meters, Time: 182.5 seconds
Name: -, Instruction: Arrive at The Drive, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
